Mouser Part Number,Mfr Part Number,Mfr.,Datasheet,Availability,Pricing,RoHS,Lifecycle,Product Detail,Product,Mounting Style,Package/Case,Wavelength/Colour Temperature,Illumination Colour,Luminous Flux/Radiant Flux,If - Forward Current,Vf - Forward Voltage,Power Rating,Lens Colour,Lens Dimensions,Lens Shape,Lens Transparency,Series,Packaging,Qualification
743-IN-S85AT5B,IN-S85AT5B,Inolux,https://www.inolux-corp.com/datasheet/SMDLED/Mono%20Color%20Top%20View/IN-S85AT%20Series_V1.0.pdf,4.352  In Stock,"=""0,163 €""",RoHS Compliant,,https://www.mouser.be/ProductDetail/Inolux/IN-S85AT5B?qs=sGAEpiMZZMv0DJfhVcWlK8AiAHwfAGPKmVltz5hNR6NaD0m5xr%252Bp1g%3D%3D&utm_source=mouser-refine-download&utm_medium=file&utm_campaign=IN-S85AT5B&utm_content=Inolux,Blue LEDs,SMD/SMT,0805 (2012 metric),473 nm,Blue,,5 mA,3 V,75 mW,Colorless,1.4 mm x 1.25 mm,Rectangular,Clear,,"Reel, Cut Tape, MouseReel",
710-150080BS75000,150080BS75000,Wurth Elektronik,https://www.we-online.com/components/products/datasheet/150080BS75000.pdf,154.478  In Stock,"=""0,163 €""",RoHS Compliant,,https://www.mouser.be/ProductDetail/Wurth-Elektronik/150080BS75000?qs=sGAEpiMZZMv0DJfhVcWlKwb9uSCDLxPfCrVJu4fcrzIC3SjRlwMVQQ%3D%3D&utm_source=mouser-refine-download&utm_medium=file&utm_campaign=150080BS75000&utm_content=Wurth-Elektronik,Blue LEDs,SMD/SMT,0805 (2012 metric),470 nm,Blue,,20 mA,3.2 V,105 mW,Colorless,1.4 mm x 1.25 mm,Rectangular,Water Clear,WL-SMCW,"Reel, Cut Tape, MouseReel",
645-599-0190-137F,599-0190-137F,Dialight,https://s3.us-west-2.amazonaws.com/catsy.557/Dialight_datasheet_599_Single-Color_0805_2_Taiwan.pdf,10.836  In Stock,"=""0,189 €""",RoHS Compliant,New Product,https://www.mouser.be/ProductDetail/Dialight/599-0190-137F?qs=sGAEpiMZZMv0DJfhVcWlK8AiAHwfAGPK1ZhBUBcB7Mkk3bO3kcwv2A%3D%3D&utm_source=mouser-refine-download&utm_medium=file&utm_campaign=599-0190-137F&utm_content=Dialight,Blue LEDs,SMD/SMT,0805 (2012 metric),470 nm,,,20 mA,3.2 V,,Water Clear,,,,"=""599""","Reel, Cut Tape",
743-IN-S85CS5B,IN-S85CS5B,Inolux,https://www.inolux-corp.com/datasheet/SMDLED/Mono%20Color%20Side%20View/IN-S85CS5B_V1.0.pdf#SMD-LED,10.050  In Stock,"=""0,189 €""",RoHS Compliant,,https://www.mouser.be/ProductDetail/Inolux/IN-S85CS5B?qs=sGAEpiMZZMv0DJfhVcWlK8AiAHwfAGPK6VR8nkics4sUio7OxB%2F1Gw%3D%3D&utm_source=mouser-refine-download&utm_medium=file&utm_campaign=IN-S85CS5B&utm_content=Inolux,Blue LEDs,SMD/SMT,0805 (2121 metric),470 nm,Blue,,5 mA,2.6 V,90 mW,Colorless,1.7 mm x 0.6 mm,Semitube,Clear,,"Reel, Cut Tape, MouseReel",
859-LTST-C170TBKT,LTST-C170TBKT,LITEON,https://www.mouser.com/catalog/specsheets/Lite-On-LTST-C170TBKT.pdf,48.076  In Stock,"=""0,189 €""",RoHS Compliant,,https://www.mouser.be/ProductDetail/LITEON/LTST-C170TBKT?qs=sGAEpiMZZMv0DJfhVcWlK%252BdbpgZMtcHOW%252BNK%252B0CY1L4%3D&utm_source=mouser-refine-download&utm_medium=file&utm_campaign=LTST-C170TBKT&utm_content=LITEON,Blue LEDs,SMD/SMT,0805 (2012 metric),470 nm,Blue,,20 mA,3.8 V,76 mW,Colorless,1.4 mm x 1.25 mm,Rectangular,Water Clear,,"Reel, Cut Tape, MouseReel",
859-LTST-S220TBKT,LTST-S220TBKT,LITEON,https://www.mouser.com/catalog/specsheets/Lite-On-LTST-S220TBKT.pdf,3.751  In Stock,"=""0,198 €""",RoHS Compliant,,https://www.mouser.be/ProductDetail/LITEON/LTST-S220TBKT?qs=sGAEpiMZZMv0DJfhVcWlK%252BdbpgZMtcHOI3RUnGpb%252BqU%3D&utm_source=mouser-refine-download&utm_medium=file&utm_campaign=LTST-S220TBKT&utm_content=LITEON,Blue LEDs,SMD/SMT,0805 (2012 metric),470 nm,Blue,,20 mA,3.4 V,120 mW,Colorless,1.7 mm x 0.6 mm,Semitube,Water Clear,,"Reel, Cut Tape, MouseReel",
859-LTST-C171TBKT,LTST-C171TBKT,LITEON,https://www.mouser.com/catalog/specsheets/Lite-On_LTST-C171TBKT.pdf,8.817  In Stock,"=""0,215 €""",RoHS Compliant,,https://www.mouser.be/ProductDetail/LITEON/LTST-C171TBKT?qs=sGAEpiMZZMv0DJfhVcWlK%252BdbpgZMtcHOavAEZj1Si14%3D&utm_source=mouser-refine-download&utm_medium=file&utm_campaign=LTST-C171TBKT&utm_content=LITEON,Blue LEDs,SMD/SMT,0805 (2012 metric),470 nm,Blue,,20 mA,3.05 V,120 mW,Colorless,1.4 mm x 1.25 mm,Rectangular,Water Clear,,"Reel, Cut Tape, MouseReel",
442-BLHB535ATB,BL-HB535A-TRB,American Bright LED,https://www.americanbrightled.com/pdffiles/led-components/smt/BL-HB535A-TRB.pdf,25.742  In Stock,"=""0,267 €""",RoHS Compliant,,https://www.mouser.be/ProductDetail/American-Bright-LED/BL-HB535A-TRB?qs=sGAEpiMZZMv0DJfhVcWlKwb9uSCDLxPfpYI66aO5eA4WpsWQ%252Bv6vgg%3D%3D&utm_source=mouser-refine-download&utm_medium=file&utm_campaign=BL-HB535A-TRB&utm_content=American-Bright-LED,Blue LEDs,SMD/SMT,0805 (2012 metric),470 nm,Blue,,20 mA,3 V,70 mW,Colorless,,Rectangular,Water Clear,,"Reel, Cut Tape",
604-APHCM2012QBC/D,APHCM2012QBC/D-F01,Kingbright,https://www.us.kingbright.com/images/catalog/SPEC/APHCM2012QBC-D-F01.pdf,11.866  In Stock,"=""0,31 €""",RoHS Compliant,,https://www.mouser.be/ProductDetail/Kingbright/APHCM2012QBC-D-F01?qs=sGAEpiMZZMv0DJfhVcWlK3Snxywvxwcc%2F91OKDCwohf6A%252BjqYkzECw%3D%3D&utm_source=mouser-refine-download&utm_medium=file&utm_campaign=APHCM2012QBC%2FD-F01&utm_content=Kingbright,Blue LEDs,SMD/SMT,0805 (2012 metric),465 nm,Blue,,20 mA,3.3 V,120 mW,Colorless,1.3 mm x 1.25 mm,Rectangular,Water Clear,,"Reel, Cut Tape, MouseReel",
645-599-0191-007F,599-0191-007F,Dialight,https://s3.us-west-2.amazonaws.com/catsy.557/Dialight_CBI_data_599-0805_Apr2018.pdf,1.870  In Stock,"=""0,327 €""",RoHS Compliant,,https://www.mouser.be/ProductDetail/Dialight/599-0191-007F?qs=sGAEpiMZZMv0DJfhVcWlK8AiAHwfAGPKh9r2bIRRkMuQdC7zHLB%2F7w%3D%3D&utm_source=mouser-refine-download&utm_medium=file&utm_campaign=599-0191-007F&utm_content=Dialight,Blue LEDs,SMD/SMT,0805 (2012 metric),470 nm,Blue,,20 mA,3.2 V,72 mW,Colorless,1.4 mm x 1.25 mm,Rectangular,Non-Diffused,,"Reel, Cut Tape, MouseReel",
593-LSM0805463V,LSM0805463V,VCC,https://www.mouser.be/datasheet/3/299/1/LSM0805_DS_rev2_072024.pdf,9.232  In Stock,"=""0,378 €""",RoHS Compliant,,https://www.mouser.be/ProductDetail/VCC/LSM0805463V?qs=sGAEpiMZZMv0DJfhVcWlK8AiAHwfAGPKnGsNFhpjtEDmfZ0jCIovEg%3D%3D&utm_source=mouser-refine-download&utm_medium=file&utm_campaign=LSM0805463V&utm_content=VCC,Blue LEDs,SMD/SMT,0805 (2012 metric),469 nm,Blue,,25 mA,3 V,75 mW,Colorless,1.4 mm x 1.25 mm,Rectangular,Water Clear,LSM0805,"Reel, Cut Tape, MouseReel",
604-APT2012QBC/D,APT2012QBC/D,Kingbright,https://www.mouser.be/datasheet/3/308/1/APT2012QBC_D.pdf,7.021  In Stock,"=""0,378 €""",RoHS Compliant,,https://www.mouser.be/ProductDetail/Kingbright/APT2012QBC-D?qs=sGAEpiMZZMv0DJfhVcWlK3SnxywvxwccGeInk9oNhwq5n0H%2Fcvt83Q%3D%3D&utm_source=mouser-refine-download&utm_medium=file&utm_campaign=APT2012QBC%2FD&utm_content=Kingbright,Blue LEDs,SMD/SMT,0805 (2012 metric),470 nm,Blue,,20 mA,3.3 V,120 mW,Colorless,1.3 mm x 1.25 mm,Rectangular,Water Clear,,"Reel, Cut Tape, MouseReel",
755-SMLMN2BCTT86C,SMLMN2BCTT86C,ROHM Semiconductor,https://fscdn.rohm.com/en/products/databook/datasheet/opto/led/chip_mono/smlmn2bctt86(c)-e.pdf,4.409  In Stock,"=""0,404 €""",RoHS Compliant,,https://www.mouser.be/ProductDetail/ROHM-Semiconductor/SMLMN2BCTT86C?qs=sGAEpiMZZMv0DJfhVcWlKwb9uSCDLxPfvIXqx7LluillbBJZ4ZStKA%3D%3D&utm_source=mouser-refine-download&utm_medium=file&utm_campaign=SMLMN2BCTT86C&utm_content=ROHM-Semiconductor,Blue LEDs,SMD/SMT,0805 (2012 metric),470 nm,Blue,,5 mA,2.9 V,68 mW,Colorless,1.4 mm x 0.85 mm,Rectangular,Water Clear,MN,"Reel, Cut Tape, MouseReel",AEC-Q100
604-APT2012VBC/D,APT2012VBC/D,Kingbright,https://www.mouser.be/datasheet/3/308/1/APT2012VBC_D.pdf,1.161  In Stock,"=""0,439 €""",RoHS Compliant,,https://www.mouser.be/ProductDetail/Kingbright/APT2012VBC-D?qs=sGAEpiMZZMv0DJfhVcWlK1LA1eGidmYz83dsVyzQaC3nab38IgoCxQ%3D%3D&utm_source=mouser-refine-download&utm_medium=file&utm_campaign=APT2012VBC%2FD&utm_content=Kingbright,Blue LEDs,SMD/SMT,0805 (2012 metric),470 nm,Blue,,20 mA,3.3 V,75 mW,Colorless,1.3 mm x 1.25 mm,Rectangular,Water Clear,,"Reel, Cut Tape, MouseReel",
604-APT2012LVBCD,APT2012LVBC/D,Kingbright,https://www.mouser.be/datasheet/3/308/1/APT2012LVBC_D.pdf,1.781  In Stock,"=""0,447 €""",RoHS Compliant,,https://www.mouser.be/ProductDetail/Kingbright/APT2012LVBC-D?qs=sGAEpiMZZMv0DJfhVcWlKwb9uSCDLxPfes4C%2F%252BGg%252BehhlcQONlteLg%3D%3D&utm_source=mouser-refine-download&utm_medium=file&utm_campaign=APT2012LVBC%2FD&utm_content=Kingbright,Blue LEDs,SMD/SMT,0805 (2012 metric),470 nm,Blue,,2 mA,2.65 V,120 mW,Colorless,1.3 mm x 1.25 mm,Rectangular,Water Clear,APT2012,"Reel, Cut Tape, MouseReel",
604-APA2106QBC/D,APA2106QBC/D,Kingbright,https://www.mouser.be/datasheet/3/308/1/APA2106qbC_d.pdf,5.726  In Stock,"=""0,456 €""",RoHS Compliant,,https://www.mouser.be/ProductDetail/Kingbright/APA2106QBC-D?qs=sGAEpiMZZMv0DJfhVcWlK3SnxywvxwccPe4Bug8fg6sItfeXPkGTew%3D%3D&utm_source=mouser-refine-download&utm_medium=file&utm_campaign=APA2106QBC%2FD&utm_content=Kingbright,Blue LEDs,SMD/SMT,0805 (2012 metric),470 nm,Blue,,20 mA,3.3 V,120 mW,Colorless,1.7 mm x 0.6 mm,Semitube,Water Clear,,"Reel, Cut Tape, MouseReel",
604-APA2107LVBCD,APA2107LVBC/D,Kingbright,https://www.mouser.be/datasheet/3/308/1/APA2107LVBC_D.pdf,10.429  In Stock,"=""0,464 €""",RoHS Compliant,,https://www.mouser.be/ProductDetail/Kingbright/APA2107LVBC-D?qs=sGAEpiMZZMv0DJfhVcWlKwb9uSCDLxPf1%2Fwze5ACsjD0x1tHQnKKVA%3D%3D&utm_source=mouser-refine-download&utm_medium=file&utm_campaign=APA2107LVBC%2FD&utm_content=Kingbright,Blue LEDs,SMD/SMT,0805 (2012 metric),470 nm,Blue,,2 mA,2.65 V,120 mW,Colorless,1.7 mm x 0.6 mm,Semitube,Water Clear,APA2107,"Reel, Cut Tape, MouseReel",
645-598-8191-107F,598-8191-107F,Dialight,https://s3.us-west-2.amazonaws.com/catsy.557/Dialight_CBI_data_598-0805_Apr2018.pdf,14.474  In Stock,"=""0,464 €""",RoHS Compliant,,https://www.mouser.be/ProductDetail/Dialight/598-8191-107F?qs=sGAEpiMZZMv0DJfhVcWlK3SnxywvxwccgtBA8tK59cmbnqHgddwt4w%3D%3D&utm_source=mouser-refine-download&utm_medium=file&utm_campaign=598-8191-107F&utm_content=Dialight,Blue LEDs,SMD/SMT,0805 (2012 metric),473 nm,Blue,,20 mA,3.2 V,87.5 mW,Colorless,1.4 mm x 1.25 mm,Rectangular,Water Clear,,"Reel, Cut Tape, MouseReel",
604-APTD2012LQBCD,APTD2012LQBC/D,Kingbright,https://www.mouser.be/datasheet/3/308/1/APTD2012LQBC_D.pdf,2.810  In Stock,"=""0,49 €""",RoHS Compliant,,https://www.mouser.be/ProductDetail/Kingbright/APTD2012LQBC-D?qs=sGAEpiMZZMv0DJfhVcWlK8AiAHwfAGPKzEqu51IGXCrYUKmNwplA7w%3D%3D&utm_source=mouser-refine-download&utm_medium=file&utm_campaign=APTD2012LQBC%2FD&utm_content=Kingbright,Blue LEDs,SMD/SMT,0805 (2012 metric),465 nm,Blue,,2 mA,2.65 V,80 mW,Colorless,1.3 mm x 1.25 mm,Rectangular,Water Clear,HeliDome,"Reel, Cut Tape, MouseReel",
710-150224BS73100,150224BS73100,Wurth Elektronik,https://www.we-online.com/components/products/datasheet/150224BS73100.pdf,4.088  In Stock,"=""0,49 €""",RoHS Compliant,,https://www.mouser.be/ProductDetail/Wurth-Elektronik/150224BS73100?qs=sGAEpiMZZMv0DJfhVcWlK8AiAHwfAGPKiXnjfG4bOVbYBjtO9%252Blb%252Bw%3D%3D&utm_source=mouser-refine-download&utm_medium=file&utm_campaign=150224BS73100&utm_content=Wurth-Elektronik,Blue LEDs,SMD/SMT,0805 (2014 metric),452 nm,Blue,,30 mA,3 V,102 mW,Colorless,,Rectangular,Water Clear,WL-SMTW,"Reel, Cut Tape, MouseReel",
604-APTD2012LVBCD,APTD2012LVBC/D,Kingbright,https://www.mouser.be/datasheet/3/308/1/APTD2012LVBC_D.pdf,2.359  In Stock,"=""0,576 €""",RoHS Compliant,,https://www.mouser.be/ProductDetail/Kingbright/APTD2012LVBC-D?qs=sGAEpiMZZMv0DJfhVcWlK8AiAHwfAGPKzEqu51IGXCpKU08FM0gIwA%3D%3D&utm_source=mouser-refine-download&utm_medium=file&utm_campaign=APTD2012LVBC%2FD&utm_content=Kingbright,Blue LEDs,SMD/SMT,0805 (2012 metric),470 nm,Blue,,2 mA,2.65 V,120 mW,Colorless,1.3 mm x 1.25 mm,Rectangular,Water Clear,HeliDome,"Reel, Cut Tape, MouseReel",
604-APA2106VBCD,APA2106VBC/D,Kingbright,https://www.mouser.be/datasheet/3/308/1/APA2106VBC_D.pdf,3.539  In Stock,"=""0,585 €""",RoHS Compliant,,https://www.mouser.be/ProductDetail/Kingbright/APA2106VBC-D?qs=sGAEpiMZZMv0DJfhVcWlKwb9uSCDLxPfEKRL3Xl2zSOg4t1qd5%2FYtw%3D%3D&utm_source=mouser-refine-download&utm_medium=file&utm_campaign=APA2106VBC%2FD&utm_content=Kingbright,Blue LEDs,SMD/SMT,0805 (2012 metric),470 nm,Blue,,20 mA,3.3 V,120 mW,Colorless,1.7 mm x 0.5 mm,Semitube,Water Clear,"=""2106""","Reel, Cut Tape, MouseReel",
604-AA2214QBS/D,AA2214QBS/D,Kingbright,https://www.mouser.be/datasheet/3/308/1/AA2214QBS_D.pdf,7.493  In Stock,"=""0,611 €""",RoHS Compliant,,https://www.mouser.be/ProductDetail/Kingbright/AA2214QBS-D?qs=sGAEpiMZZMv0DJfhVcWlK512OlMuG%252BmKjxvGyH6iZ0QNDpu5MlhEoA%3D%3D&utm_source=mouser-refine-download&utm_medium=file&utm_campaign=AA2214QBS%2FD&utm_content=Kingbright,Blue LEDs,SMD/SMT,0805 (2112 metric),470 nm,Blue,,20 mA,4 V,120 mW,Colorless,1.65 mm x 1.15 mm,Oval,Water Clear,AA2214,"Reel, Cut Tape, MouseReel",
593-VAOL-S8SB4,VAOL-S8SB4,VCC,https://www.mouser.be/datasheet/3/299/1/VAOL_S8SB4.pdf,6.567  In Stock,"=""0,662 €""",RoHS Compliant,,https://www.mouser.be/ProductDetail/VCC/VAOL-S8SB4?qs=sGAEpiMZZMv0DJfhVcWlK3SnxywvxwccUS2WYjO%252BYtEmkWa3PKE4bQ%3D%3D&utm_source=mouser-refine-download&utm_medium=file&utm_campaign=VAOL-S8SB4&utm_content=VCC,Blue LEDs,SMD/SMT,0805 (2012 metric),470.5 nm,Blue,,20 mA,3.3 V,110 mW,Colorless,1.4 mm x 1.25 mm,Rectangular,Water Clear,,"Reel, Cut Tape, MouseReel",
630-HSMR-C170,HSMR-C170,Broadcom / Avago,https://www.mouser.be/datasheet/3/57/1/AV02_0977EN_2020_10_28.pdf,21.970  In Stock,"=""0,80 €""",RoHS Compliant,,https://www.mouser.be/ProductDetail/Broadcom-Avago/HSMR-C170?qs=sGAEpiMZZMv0DJfhVcWlK1Ppw73HhFT6IaImp%2FUH9dZlpARo%2FKb2iw%3D%3D&utm_source=mouser-refine-download&utm_medium=file&utm_campaign=HSMR-C170&utm_content=Broadcom-%2F-Avago,Blue LEDs,SMD/SMT,0805 (2012 metric),473 nm,Blue,,20 mA,3.4 V,78 mW,Colorless,1.4 mm x 1.25 mm,Rectangular,Diffused,HSMR,"Reel, Cut Tape, MouseReel",
