Mouser Part Number,Mfr Part Number,Mfr.,Datasheet,Availability,Pricing,RoHS,Lifecycle,Product Detail,Capacitance,Voltage Rating DC,Dielectric,Tolerance,Case Code - in,Case Code - mm,Termination Style,Termination,Minimum Operating Temperature,Maximum Operating Temperature,Length,Width,Height,Product,Qualification,Series,Packaging
81-GRM39C102J50,GRM1885C1H102JA01D,Murata Electronics,https://www.mouser.be/datasheet/3/76/1/GRM1885C1H102JA01-01A.pdf,288.983  In Stock,"=""0,086 €""",RoHS Compliant,,https://www.mouser.be/ProductDetail/Murata-Electronics/GRM1885C1H102JA01D?qs=H3lwsW1hsDtu9zD8AnV%2FOA%3D%3D&utm_source=mouser-refine-download&utm_medium=file&utm_campaign=GRM1885C1H102JA01D&utm_content=Murata-Electronics,"=""1000 pF""",50 VDC,C0G (NP0),5 %,"=""0603""","=""1608""",SMD/SMT,Standard,- 55 C,+ 125 C,1.6 mm (0.063 in),0.8 mm (0.031 in),0.8 mm (0.031 in),General Type MLCCs,,,"Reel, Cut Tape, MouseReel"
80-C0603C102K4R,C0603C102K4RACTU,KEMET,https://www.mouser.be/datasheet/3/508/1/C0603C102K4RACTU.pdf,99.125  In Stock,"=""0,086 €""",RoHS Compliant,,https://www.mouser.be/ProductDetail/KEMET/C0603C102K4RACTU?qs=6vAnWmThf5WCm643CoP%252BeQ%3D%3D&utm_source=mouser-refine-download&utm_medium=file&utm_campaign=C0603C102K4RACTU&utm_content=KEMET,"=""1000 pF""",16 VDC,X7R,10 %,"=""0603""","=""1608""",SMD/SMT,Standard,- 55 C,+ 125 C,1.6 mm (0.063 in),0.8 mm (0.031 in),0.8 mm (0.031 in),General Type MLCCs,,SMD Comm X7R,"Reel, Cut Tape, MouseReel"
80-C0603C102K5R7411,C0603C102K5RAC7411,KEMET,https://www.mouser.be/datasheet/3/72/1/C0603C102K5RAC7411.pdf,32.103  In Stock,"=""0,086 €""",RoHS Compliant,,https://www.mouser.be/ProductDetail/KEMET/C0603C102K5RAC7411?qs=6vAnWmThf5WkJm2k7MMrkg%3D%3D&utm_source=mouser-refine-download&utm_medium=file&utm_campaign=C0603C102K5RAC7411&utm_content=KEMET,"=""1000 pF""",50 VDC,X7R,10 %,"=""0603""","=""1608""",SMD/SMT,Standard,- 55 C,+ 125 C,1.6 mm (0.063 in),0.8 mm (0.031 in),0.8 mm (0.031 in),General Type MLCCs,,SMD Comm X7R,"Reel, Cut Tape, MouseReel"
791-0603B102J101CT,0603B102J101CT,Walsin,https://www.mouser.be/datasheet/3/317/1/WTC_MLCC_General_Purpose.pdf,132.384  In Stock,"=""0,108 €""",RoHS Compliant,,https://www.mouser.be/ProductDetail/Walsin/0603B102J101CT?qs=fIkAfuXiAQKo7WCIMZA%252BkA%3D%3D&utm_source=mouser-refine-download&utm_medium=file&utm_campaign=0603B102J101CT&utm_content=Walsin,"=""1000 pF""",100 VDC,X7R,5 %,"=""0603""","=""1608""",SMD/SMT,Standard,- 55 C,+ 125 C,1.6 mm (0.063 in),0.8 mm (0.031 in),0.8 mm (0.031 in),General Type MLCCs,,,"Reel, Cut Tape, MouseReel"
791-0603B102J500CT,0603B102J500CT,Walsin,https://www.mouser.be/datasheet/3/317/1/WTC_MLCC_General_Purpose.pdf,10.483  In Stock,"=""0,108 €""",RoHS Compliant,,https://www.mouser.be/ProductDetail/Walsin/0603B102J500CT?qs=fIkAfuXiAQK1cYPL5k8AQw%3D%3D&utm_source=mouser-refine-download&utm_medium=file&utm_campaign=0603B102J500CT&utm_content=Walsin,"=""1000 pF""",50 VDC,X7R,5 %,"=""0603""","=""1608""",SMD/SMT,Standard,- 55 C,+ 125 C,1.6 mm (0.063 in),0.8 mm (0.031 in),0.8 mm (0.031 in),General Type MLCCs,,,"Reel, Cut Tape, MouseReel"
603-CC603KPX7R9BB102,CC0603KPX7R9BB102,YAGEO,https://www.mouser.be/datasheet/3/508/1/UPY_GPHC_X7R_6_3V_TO_250V.pdf,18.856  In Stock,"=""0,086 €""",RoHS Compliant,,https://www.mouser.be/ProductDetail/YAGEO/CC0603KPX7R9BB102?qs=AgBp2OyFlx9%252BFTG7MKMKvw%3D%3D&utm_source=mouser-refine-download&utm_medium=file&utm_campaign=CC0603KPX7R9BB102&utm_content=YAGEO,"=""1000 pF""",50 VDC,X7R,10 %,"=""0603""","=""1608""",SMD/SMT,Standard,- 55 C,+ 125 C,1.6 mm (0.063 in),0.81 mm (0.031 in),0.8 mm (0.031 in),General Type MLCCs,,CC,"Reel, Cut Tape, MouseReel"
187-CL10C102JB81PNC,CL10C102JB81PNC,Samsung Electro-Mechanics,https://www.samsungsem.com/resources/file/global/support/product_catalog/MLCC_Automotive.pdf,30.408  In Stock,"=""0,086 €""",RoHS Compliant,,https://www.mouser.be/ProductDetail/Samsung-Electro-Mechanics/CL10C102JB81PNC?qs=X6jEic%2FHinBugPtpoHCX7Q%3D%3D&utm_source=mouser-refine-download&utm_medium=file&utm_campaign=CL10C102JB81PNC&utm_content=Samsung-Electro-Mechanics,"=""1000 pF""",50 VDC,C0G (NP0),5 %,"=""0603""","=""1608""",SMD/SMT,Standard,- 55 C,+ 125 C,1.6 mm (0.063 in),0.8 mm (0.031 in),0.9 mm (0.035 in),General Type MLCCs,AEC-Q200,CL Automotive,"Reel, Cut Tape, MouseReel"
810-CGA3E2X7R1H102MA,CGA3E2X7R1H102M080AA,TDK,https://product.tdk.com/system/files/dam/doc/product/capacitor/ceramic/mlcc/catalog/mlcc_automotive_general_en.pdf?ref_disty=mouser,5.175  In Stock,"=""0,086 €""",RoHS Compliant,,https://www.mouser.be/ProductDetail/TDK/CGA3E2X7R1H102M080AA?qs=xLDY6iXSiQaHmbr%2F9sFn7A%3D%3D&utm_source=mouser-refine-download&utm_medium=file&utm_campaign=CGA3E2X7R1H102M080AA&utm_content=TDK,"=""1000 pF""",50 VDC,X7R,20 %,"=""0603""","=""1608""",SMD/SMT,Standard,- 55 C,+ 125 C,1.6 mm (0.063 in),0.8 mm (0.031 in),0.8 mm (0.031 in),Automotive MLCCs,AEC-Q200,CGA,"Reel, Cut Tape, MouseReel"
810-CGA3E2X7R2A102MA,CGA3E2X7R2A102M080AA,TDK,https://product.tdk.com/system/files/dam/doc/product/capacitor/ceramic/mlcc/catalog/mlcc_automotive_midvoltage_en.pdf?ref_disty=mouser,2.208  In Stock,"=""0,086 €""",RoHS Compliant,,https://www.mouser.be/ProductDetail/TDK/CGA3E2X7R2A102M080AA?qs=xLDY6iXSiQb%2FMjfxzSu5ew%3D%3D&utm_source=mouser-refine-download&utm_medium=file&utm_campaign=CGA3E2X7R2A102M080AA&utm_content=TDK,"=""1000 pF""",100 VDC,X7R,20 %,"=""0603""","=""1608""",SMD/SMT,Standard,- 55 C,+ 125 C,1.6 mm (0.063 in),0.8 mm (0.031 in),0.8 mm (0.031 in),Automotive MLCCs,AEC-Q200,CGA,"Reel, Cut Tape, MouseReel"
791-0603N102G500CT,0603N102G500CT,Walsin,https://www.mouser.be/datasheet/3/317/1/WTC_MLCC_General_Purpose.pdf,,"=""0,108 €""",RoHS Compliant,,https://www.mouser.be/ProductDetail/Walsin/0603N102G500CT?qs=ZrPdAQfJ6DNS0965gYkmtg%3D%3D&utm_source=mouser-refine-download&utm_medium=file&utm_campaign=0603N102G500CT&utm_content=Walsin,"=""1000 pF""",50 VDC,C0G (NP0),2 %,"=""0603""","=""1608""",SMD/SMT,Standard,- 55 C,+ 125 C,1.6 mm (0.063 in),0.8 mm (0.031 in),0.8 mm (0.031 in),General Type MLCCs,,,"Reel, Cut Tape, MouseReel"
581-06035C102KAT2A62,06035C102KAT2A-62,KYOCERA AVX,https://www.mouser.be/datasheet/3/5926/1/X7RDielectric.pdf,6.761  In Stock,"=""0,086 €""",RoHS Compliant,,https://www.mouser.be/ProductDetail/KYOCERA-AVX/06035C102KAT2A-62?qs=AQlKX63v8Ru7s2sWFpdQQA%3D%3D&utm_source=mouser-refine-download&utm_medium=file&utm_campaign=06035C102KAT2A-62&utm_content=KYOCERA-AVX,"=""1000 pF""",50 VDC,X7R,10 %,"=""0603""","=""1608""",,Standard,,+ 125 C,,,,,,MLCC X7R,"Reel, Cut Tape"
187-CL10B102KB8WPNC,CL10B102KB8WPNC,Samsung Electro-Mechanics,https://www.samsungsem.com/resources/file/global/support/product_catalog/MLCC_Automotive.pdf,95.221  In Stock,"=""0,086 €""",RoHS Compliant,,https://www.mouser.be/ProductDetail/Samsung-Electro-Mechanics/CL10B102KB8WPNC?qs=e%252B%2FO%2F8SVGoLTfeX%2FwHTPfA%3D%3D&utm_source=mouser-refine-download&utm_medium=file&utm_campaign=CL10B102KB8WPNC&utm_content=Samsung-Electro-Mechanics,"=""1000 pF""",50 VDC,X7R,10 %,"=""0603""","=""1608""",SMD/SMT,Conductive Epoxy,- 55 C,+ 125 C,1.6 mm (0.063 in),0.8 mm (0.031 in),0.9 mm (0.035 in),General Type MLCCs,AEC-Q200,CL Automotive,"Reel, Cut Tape, MouseReel"
581-06031C102K4T2A,06031C102K4T2A,KYOCERA AVX,https://www.mouser.be/datasheet/3/5926/1/AutoMLCCKAM.pdf,14.428  In Stock,"=""0,086 €""",RoHS Compliant,,https://www.mouser.be/ProductDetail/KYOCERA-AVX/06031C102K4T2A?qs=dsuSku9%252BPHpl8SW15zDP1w%3D%3D&utm_source=mouser-refine-download&utm_medium=file&utm_campaign=06031C102K4T2A&utm_content=KYOCERA-AVX,"=""1000 pF""",100 VDC,X7R,10 %,"=""0603""","=""1608""",SMD/SMT,Standard,- 55 C,+ 125 C,1.6 mm (0.063 in),0.81 mm (0.032 in),0.9 mm (0.035 in),Automotive MLCCs,AEC-Q200,Automotive MLCC,"Reel, Cut Tape, MouseReel"
80-C0603C102J5G7411,C0603C102J5GAC7411,KEMET,https://www.mouser.be/datasheet/3/508/1/C0603C102J5GAC7411.pdf,72.677  In Stock,"=""0,086 €""",RoHS Compliant,,https://www.mouser.be/ProductDetail/KEMET/C0603C102J5GAC7411?qs=6hD%252B5aNM3nV93MDlK8ruZQ%3D%3D&utm_source=mouser-refine-download&utm_medium=file&utm_campaign=C0603C102J5GAC7411&utm_content=KEMET,"=""1000 pF""",50 VDC,C0G (NP0),5 %,"=""0603""","=""1608""",SMD/SMT,Standard,- 55 C,+ 125 C,1.6 mm (0.063 in),0.8 mm (0.031 in),0.8 mm (0.031 in),General Type MLCCs,,SMD Comm C0G,"Reel, Cut Tape, MouseReel"
