Mouser Part Number,Mfr Part Number,Mfr.,Datasheet,Availability,Pricing,RoHS,Lifecycle,Product Detail,Frequency,Load Capacitance,Tolerance,Frequency Stability,Package/Case,Minimum Operating Temperature,Maximum Operating Temperature,Termination Style,ESR,Drive Level,Length,Width,Height,Diameter,Series,Packaging,Qualification
815-ABLS-12.0M-T,ABLS-12.000MHZ-B4-T,ABRACON,https://www.mouser.be/datasheet/3/184/1/ABLS.pdf,18.385  In Stock,"=""0,189 €""",RoHS Compliant,,https://www.mouser.be/ProductDetail/ABRACON/ABLS-12.000MHZ-B4-T?qs=yTU0IcKoRlGSQ8ooxPPVnQ%3D%3D&utm_source=mouser-refine-download&utm_medium=file&utm_campaign=ABLS-12.000MHZ-B4-T&utm_content=ABRACON,12 MHz,"=""18 pF""","=""30 PPM""","=""50 PPM""",11.4 mm x 4.7 mm,- 20 C,+ 70 C,SMD/SMT,50 Ohms,100 uW,11.4 mm,4.7 mm,4.2 mm,,ABLS,"Reel, Cut Tape, MouseReel",
815-ABLS12MHZD4YT,ABLS-12.000MHZ-D4Y-T,ABRACON,https://www.mouser.be/datasheet/3/184/1/ABLS.pdf,2.197  In Stock,"=""0,198 €""",RoHS Compliant,,https://www.mouser.be/ProductDetail/ABRACON/ABLS-12.000MHZ-D4Y-T?qs=wnTfsH77Xs7psW5HREdosA%3D%3D&utm_source=mouser-refine-download&utm_medium=file&utm_campaign=ABLS-12.000MHZ-D4Y-T&utm_content=ABRACON,12 MHz,"=""18 pF""","=""30 PPM""","=""30 PPM""",11.4 mm x 4.7 mm,- 40 C,+ 85 C,SMD/SMT,50 Ohms,100 uW,11.4 mm,4.7 mm,4.2 mm,,ABLS,"Reel, Cut Tape",
815-ABLS-12-B2,ABLS-12.000MHZ-B2-T,ABRACON,https://www.mouser.be/datasheet/3/184/1/ABLS.pdf,6.253  In Stock,"=""0,198 €""",RoHS Compliant,,https://www.mouser.be/ProductDetail/ABRACON/ABLS-12.000MHZ-B2-T?qs=zLkLEWnxMJwoFPYIO%252BvkDg%3D%3D&utm_source=mouser-refine-download&utm_medium=file&utm_campaign=ABLS-12.000MHZ-B2-T&utm_content=ABRACON,12 MHz,"=""18 pF""","=""20 PPM""","=""50 PPM""",11.4 mm x 4.7 mm,- 20 C,+ 70 C,SMD/SMT,50 Ohms,100 uW,11.4 mm,4.7 mm,4.2 mm,,ABLS,"Reel, Cut Tape, MouseReel",
559-FC4SDCBMF12.0-T1,FC4SDCBMF12.0-T1,ABRACON,https://www.mouser.be/datasheet/3/184/1/FC4SD.pdf,2.209  In Stock,"=""0,198 €""",RoHS Compliant,,https://www.mouser.be/ProductDetail/ABRACON/FC4SDCBMF12.0-T1?qs=MLItCLRbWsxVsHzicksfDw%3D%3D&utm_source=mouser-refine-download&utm_medium=file&utm_campaign=FC4SDCBMF12.0-T1&utm_content=ABRACON,12 MHz,"=""20 pF""","=""30 PPM""","=""50 PPM""",13.5 mm x 5 mm,- 20 C,+ 70 C,SMD/SMT,40 Ohms,0.1 mW,13.5 mm,5 mm,4.5 mm,,C4SD,"Reel, Cut Tape, MouseReel",
815-LS12000MHZ12D4YT,ABLS-12.000MHZ-12-D4Y-T,ABRACON,https://www.mouser.be/datasheet/3/184/1/ABLS.pdf,Non-Stocked Lead-Time 15 Weeks,"=""0,206 €""",RoHS Compliant,,https://www.mouser.be/ProductDetail/ABRACON/ABLS-12.000MHZ-12-D4Y-T?qs=byeeYqUIh0PJV3hKHBAOqQ%3D%3D&utm_source=mouser-refine-download&utm_medium=file&utm_campaign=ABLS-12.000MHZ-12-D4Y-T&utm_content=ABRACON,12 MHz,"=""12 pF""",,,11.4 mm x 4.7 mm,- 40 C,+ 85 C,SMD/SMT,,100 uW,11.4 mm,4.7 mm,4.2 mm,,ABLS,"Reel, Cut Tape",
559-FC4SDCBMM12.0-T1,FC4SDCBMM12.0-T1,ABRACON,https://www.mouser.be/datasheet/3/184/1/FC4SD.pdf,,"=""0,206 €""",RoHS Compliant,,https://www.mouser.be/ProductDetail/ABRACON/FC4SDCBMM12.0-T1?qs=XeJtXLiO41Q3hc%252BrHlH1qQ%3D%3D&utm_source=mouser-refine-download&utm_medium=file&utm_campaign=FC4SDCBMM12.0-T1&utm_content=ABRACON,12 MHz,"=""20 pF""","=""30 PPM""","=""50 PPM""",13.5 mm x 5 mm,- 40 C,+ 85 C,SMD/SMT,60 Ohms,0.1 mW,13.5 mm,5 mm,4.5 mm,,C4SD,"Reel, Cut Tape, MouseReel",
815-ABLS12000MHZB4HT,ABLS-12.000MHz-B4H-T,ABRACON,https://www.mouser.be/datasheet/3/184/1/ABLS.pdf,113  In Stock,"=""0,206 €""",RoHS Compliant,,https://www.mouser.be/ProductDetail/ABRACON/ABLS-12.000MHz-B4H-T?qs=vLWxofP3U2yEwviFmNeO2w%3D%3D&utm_source=mouser-refine-download&utm_medium=file&utm_campaign=ABLS-12.000MHz-B4H-T&utm_content=ABRACON,12 MHz,"=""18 pF""","=""30 PPM""","=""35 PPM""",11.4 mm x 4.7 mm,- 20 C,+ 70 C,SMD/SMT,50 Ohms,100 uW,11.4 mm,4.7 mm,4.2 mm,,ABLS,"Reel, Cut Tape",
815-ABLS-12.0ML4Q-T,ABLS-12.000MHZ-L4Q-T,ABRACON,https://www.mouser.be/datasheet/3/184/1/ABLS.pdf,3.404  In Stock,"=""0,215 €""",RoHS Compliant,,https://www.mouser.be/ProductDetail/ABRACON/ABLS-12.000MHZ-L4Q-T?qs=uDmhV2jwPRfdYFFE%2FfmH5g%3D%3D&utm_source=mouser-refine-download&utm_medium=file&utm_campaign=ABLS-12.000MHZ-L4Q-T&utm_content=ABRACON,12 MHz,"=""18 pF""","=""30 PPM""","=""100 PPM""",11.4 mm x 4.7 mm,- 55 C,+ 125 C,SMD/SMT,50 Ohms,100 uW,11.4 mm,4.7 mm,4.2 mm,,ABLS,"Reel, Cut Tape, MouseReel",
815-LS12000MHZ20B4YT,ABLS-12.000MHz-20-B4Y-T,ABRACON,https://www.mouser.be/datasheet/3/184/1/ABLS.pdf,1.346  In Stock,"=""0,215 €""",RoHS Compliant,,https://www.mouser.be/ProductDetail/ABRACON/ABLS-12.000MHz-20-B4Y-T?qs=vLWxofP3U2zUxeVj3NIusQ%3D%3D&utm_source=mouser-refine-download&utm_medium=file&utm_campaign=ABLS-12.000MHz-20-B4Y-T&utm_content=ABRACON,12 MHz,"=""20 pF""","=""30 PPM""","=""30 PPM""",11.4 mm x 4.7 mm,- 20 C,+ 70 C,SMD/SMT,50 Ohms,100 uW,11.4 mm,4.7 mm,4.2 mm,,ABLS,"Reel, Cut Tape",
815-ABLS-12.0M-K4-T,ABLS-12.000MHZ-K4T,ABRACON,https://www.mouser.be/datasheet/3/184/1/ABLS.pdf,2.022  In Stock,"=""0,215 €""",RoHS Compliant,,https://www.mouser.be/ProductDetail/ABRACON/ABLS-12.000MHZ-K4T?qs=uDmhV2jwPRcA4AGV27CZkw%3D%3D&utm_source=mouser-refine-download&utm_medium=file&utm_campaign=ABLS-12.000MHZ-K4T&utm_content=ABRACON,12 MHz,"=""18 pF""","=""30 PPM""","=""50 PPM""",11.4 mm x 4.7 mm,- 40 C,+ 125 C,SMD/SMT,50 Ohms,100 uW,11.4 mm,4.7 mm,4.2 mm,,ABLS,"Reel, Cut Tape, MouseReel",
