Mouser Part Number,Mfr Part Number,Mfr.,Datasheet,Availability,Pricing,RoHS,Lifecycle,Product Detail,Capacitance,Voltage Rating DC,Dielectric,Tolerance,Case Code - in,Case Code - mm,Termination Style,Termination,Minimum Operating Temperature,Maximum Operating Temperature,Length,Width,Height,Product,Series,Packaging
581-06031A300FAT2A,06031A300FAT2A,KYOCERA AVX,https://www.mouser.be/datasheet/3/5926/1/C0GNP0_Dielectric.pdf,36.963  In Stock,"=""0,361 €""",RoHS Compliant By Exemption,,https://www.mouser.be/ProductDetail/KYOCERA-AVX/06031A300FAT2A?qs=0IpgBZdgZcpQvPd025dd0w%3D%3D&utm_source=mouser-refine-download&utm_medium=file&utm_campaign=06031A300FAT2A&utm_content=KYOCERA-AVX,"=""30 pF""",100 VDC,C0G (NP0),1 %,"=""0603""","=""1608""",SMD/SMT,Standard,- 55 C,+ 125 C,1.6 mm (0.063 in),0.81 mm (0.032 in),0.9 mm (0.035 in),General Type MLCCs,C0G (NP0),"Reel, Cut Tape, MouseReel"
581-06035A240FAT2A,06035A240FAT2A,KYOCERA AVX,https://www.mouser.be/datasheet/3/5926/1/C0GNP0_Dielectric.pdf,6.107  In Stock,"=""0,378 €""",RoHS Compliant,,https://www.mouser.be/ProductDetail/KYOCERA-AVX/06035A240FAT2A?qs=iTAsW3CGT1I4lgF%2FyQr1Vw%3D%3D&utm_source=mouser-refine-download&utm_medium=file&utm_campaign=06035A240FAT2A&utm_content=KYOCERA-AVX,"=""24 pF""",50 VDC,C0G (NP0),1 %,"=""0603""","=""1608""",SMD/SMT,Standard,- 55 C,+ 125 C,1.6 mm (0.063 in),0.81 mm (0.032 in),0.9 mm (0.035 in),General Type MLCCs,C0G (NP0),"Reel, Cut Tape, MouseReel"
581-06031A220CAT2A,06031A220CAT2A,KYOCERA AVX,https://www.mouser.be/datasheet/3/5926/1/C0GNP0_Dielectric.pdf,6.439  In Stock,"=""0,378 €""",RoHS Compliant,,https://www.mouser.be/ProductDetail/KYOCERA-AVX/06031A220CAT2A?qs=OxThpr6vEgBwi7CmNpqceQ%3D%3D&utm_source=mouser-refine-download&utm_medium=file&utm_campaign=06031A220CAT2A&utm_content=KYOCERA-AVX,"=""22 pF""",100 VDC,C0G (NP0),"=""0.25 pF""","=""0603""","=""1608""",SMD/SMT,Standard,- 55 C,+ 125 C,1.6 mm (0.063 in),0.81 mm (0.032 in),0.9 mm (0.035 in),General Type MLCCs,C0G (NP0),"Reel, Cut Tape, MouseReel"
581-06035A220DAT2A,06035A220DAT2A,KYOCERA AVX,https://www.mouser.be/datasheet/3/5926/1/C0GNP0_Dielectric.pdf,3.872  In Stock,"=""0,318 €""",RoHS Compliant,,https://www.mouser.be/ProductDetail/KYOCERA-AVX/06035A220DAT2A?qs=EbDiPP9peV9R%252B93JTeet%252BA%3D%3D&utm_source=mouser-refine-download&utm_medium=file&utm_campaign=06035A220DAT2A&utm_content=KYOCERA-AVX,"=""22 pF""",50 VDC,C0G (NP0),"=""0.5 pF""","=""0603""","=""1608""",SMD/SMT,Standard,- 55 C,+ 125 C,1.6 mm (0.063 in),0.81 mm (0.032 in),0.35 mm (0.014 in),General Type MLCCs,C0G (NP0),"Reel, Cut Tape, MouseReel"
581-06035A220CAT2A,06035A220CAT2A,KYOCERA AVX,https://www.mouser.be/datasheet/3/5926/1/C0GNP0_Dielectric.pdf,6.780  In Stock,"=""0,378 €""",RoHS Compliant,,https://www.mouser.be/ProductDetail/KYOCERA-AVX/06035A220CAT2A?qs=Rut5%2FaeE1dBiRWy1%2FK%252BrJQ%3D%3D&utm_source=mouser-refine-download&utm_medium=file&utm_campaign=06035A220CAT2A&utm_content=KYOCERA-AVX,"=""22 pF""",50 VDC,C0G (NP0),"=""0.25 pF""","=""0603""","=""1608""",SMD/SMT,Standard,- 55 C,+ 125 C,1.6 mm (0.063 in),0.81 mm (0.032 in),0.9 mm (0.035 in),General Type MLCCs,C0G (NP0),"Reel, Cut Tape, MouseReel"
581-06035A270FAT2A,06035A270FAT2A,KYOCERA AVX,https://datasheets.kyocera-avx.com/C0GNP0-KGM.pdf,5.891  In Stock,"=""0,181 €""",RoHS Compliant,,https://www.mouser.be/ProductDetail/KYOCERA-AVX/06035A270FAT2A?qs=pLllxMKqYOUE57iRl783tA%3D%3D&utm_source=mouser-refine-download&utm_medium=file&utm_campaign=06035A270FAT2A&utm_content=KYOCERA-AVX,"=""27 pF""",50 VDC,C0G (NP0),1 %,"=""0603""","=""1608""",SMD/SMT,Standard,- 55 C,+ 125 C,1.6 mm (0.063 in),0.81 mm (0.032 in),,General Type MLCCs,C0G (NP0),"Reel, Cut Tape, MouseReel"
581-06033A220CAT2A,06033A220CAT2A,KYOCERA AVX,https://www.mouser.be/datasheet/3/5926/1/C0GNP0_Dielectric.pdf,6.933  In Stock,"=""0,378 €""",RoHS Compliant,,https://www.mouser.be/ProductDetail/KYOCERA-AVX/06033A220CAT2A?qs=ahudlVbFbauyU8Nxnwi2EA%3D%3D&utm_source=mouser-refine-download&utm_medium=file&utm_campaign=06033A220CAT2A&utm_content=KYOCERA-AVX,"=""22 pF""",25 VDC,C0G (NP0),"=""0.25 pF""","=""0603""","=""1608""",SMD/SMT,Standard,- 55 C,+ 125 C,1.6 mm (0.063 in),0.81 mm (0.032 in),0.9 mm (0.035 in),General Type MLCCs,C0G (NP0),"Reel, Cut Tape, MouseReel"
581-06033A220DAT2A,06033A220DAT2A,KYOCERA AVX,https://www.mouser.be/datasheet/3/5926/1/C0GNP0_Dielectric.pdf,1.049  In Stock,"=""0,318 €""",RoHS Compliant By Exemption,,https://www.mouser.be/ProductDetail/KYOCERA-AVX/06033A220DAT2A?qs=42M%252BZ2vqBDpJvV3Tv1zP%2FQ%3D%3D&utm_source=mouser-refine-download&utm_medium=file&utm_campaign=06033A220DAT2A&utm_content=KYOCERA-AVX,"=""22 pF""",25 VDC,C0G (NP0),"=""0.5 pF""","=""0603""","=""1608""",SMD/SMT,Standard,- 55 C,+ 125 C,1.6 mm (0.063 in),0.81 mm (0.032 in),0.9 mm (0.035 in),General Type MLCCs,C0G (NP0),"Reel, Cut Tape, MouseReel"
581-06035A270DAT2A,06035A270DAT2A,KYOCERA AVX,https://www.mouser.be/datasheet/3/5926/1/C0GNP0_Dielectric.pdf,7.612  In Stock,"=""0,198 €""",RoHS Compliant,,https://www.mouser.be/ProductDetail/KYOCERA-AVX/06035A270DAT2A?qs=IZo%2F4GmaPbQOOIJ%2FbsBpAQ%3D%3D&utm_source=mouser-refine-download&utm_medium=file&utm_campaign=06035A270DAT2A&utm_content=KYOCERA-AVX,"=""27 pF""",50 VDC,C0G (NP0),"=""0.5 pF""","=""0603""","=""1608""",SMD/SMT,Standard,- 55 C,+ 125 C,1.6 mm (0.063 in),0.81 mm (0.032 in),0.9 mm (0.035 in),General Type MLCCs,C0G (NP0),"Reel, Cut Tape, MouseReel"
581-06031A300GAT2A,06031A300GAT2A,KYOCERA AVX,https://www.mouser.be/datasheet/3/5926/1/C0GNP0_Dielectric.pdf,3.800  In Stock,"=""0,318 €""",RoHS Compliant,,https://www.mouser.be/ProductDetail/KYOCERA-AVX/06031A300GAT2A?qs=vKkcnSRGkVv6cmSqSKMkyQ%3D%3D&utm_source=mouser-refine-download&utm_medium=file&utm_campaign=06031A300GAT2A&utm_content=KYOCERA-AVX,"=""30 pF""",100 VDC,C0G (NP0),2 %,"=""0603""","=""1608""",SMD/SMT,Standard,- 55 C,+ 125 C,1.6 mm (0.063 in),0.81 mm (0.032 in),0.35 mm (0.014 in),General Type MLCCs,C0G (NP0),"Reel, Cut Tape, MouseReel"
