Mouser Part Number,Mfr Part Number,Mfr.,Datasheet,Availability,Pricing,RoHS,Lifecycle,Product Detail,Number of Positions,Pitch,Current Rating,Color,Connection Method,Wire Gauge Range
571-2385003-2,2385003-2,TE Connectivity,https://www.te.com/commerce/DocumentDelivery/DDEController?Action=srchrtrv&DocNm=2385003&DocType=Customer+Drawing&DocLang=English&DocFormat=pdf&PartCntxt=2385003-2,Non-Stocked Lead-Time 24 Weeks,"=""0,107 €""",RoHS Compliant,,https://eu.mouser.com/ProductDetail/TE-Connectivity/2385003-2?qs=sGAEpiMZZMvPvGwLNS671%252B7aWYNAXBhXZvByD31skX93LefrOuvc4w%3D%3D&utm_source=mouser-refine-download&utm_medium=file&utm_campaign=2385003-2&utm_content=TE-Connectivity,"=""2 Position""",2.5 mm,,Green (Light Green),,
571-2385002-2,2385002-2,TE Connectivity,https://eu.mouser.com/datasheet/3/80/18/ENG_CD_2385002_A.pdf,Non-Stocked Lead-Time 24 Weeks,"=""0,107 €""",RoHS Compliant,,https://eu.mouser.com/ProductDetail/TE-Connectivity/2385002-2?qs=sGAEpiMZZMvPvGwLNS671%252B7aWYNAXBhXBqWmxjXUmnx9oMfC3hFoBg%3D%3D&utm_source=mouser-refine-download&utm_medium=file&utm_campaign=2385002-2&utm_content=TE-Connectivity,"=""2 Position""",2.5 mm,,Green (Light Green),,
651-1015464,"=""1015464""",Phoenix Contact,https://www.phoenixcontact.com/us/products/1015464/pdf,25  In Stock,"=""0,155 €""",RoHS Compliant,,https://eu.mouser.com/ProductDetail/Phoenix-Contact/1015464?qs=sGAEpiMZZMvPvGwLNS671%2FDanv8Jav06x6zmce0kjlKiemeMmCNeQQ%3D%3D&utm_source=mouser-refine-download&utm_medium=file&utm_campaign=1015464&utm_content=Phoenix-Contact,"=""2 Position""",2.5 mm,"=""6 A""",,Crimp,
651-1015242,"=""1015242""",Phoenix Contact,https://eu.mouser.com/datasheet/3/507/9/phoenix_contact_1015242_en.pdf,210  In Stock,"=""0,206 €""",RoHS Compliant,,https://eu.mouser.com/ProductDetail/Phoenix-Contact/1015242?qs=sGAEpiMZZMvPvGwLNS671%2FDanv8Jav068tmX14yycNYWrwbYvOMfqA%3D%3D&utm_source=mouser-refine-download&utm_medium=file&utm_campaign=1015242&utm_content=Phoenix-Contact,"=""2 Position""",2.5 mm,"=""6 A""",,Crimp,
651-1012266,"=""1012266""",Phoenix Contact,https://eu.mouser.com/datasheet/3/507/9/phoenix_contact_1012266_en.pdf,97  In Stock,"=""0,224 €""",RoHS Compliant,,https://eu.mouser.com/ProductDetail/Phoenix-Contact/1012266?qs=sGAEpiMZZMvPvGwLNS671%2FDanv8Jav06E94TlBxrqyu4c8FMghPgfw%3D%3D&utm_source=mouser-refine-download&utm_medium=file&utm_campaign=1012266&utm_content=Phoenix-Contact,"=""2 Position""",2.54 mm,"=""6 A""",Black,Crimp,
651-1841131,"=""1841131""",Phoenix Contact,https://www.phoenixcontact.com/us/products/1841131/pdf,Non-Stocked,"=""0,258 €""",RoHS Compliant,,https://eu.mouser.com/ProductDetail/Phoenix-Contact/1841131?qs=sGAEpiMZZMvPvGwLNS6714iZZ01n4gjsmsxJDJ33NctkSIpCtl0pJA%3D%3D&utm_source=mouser-refine-download&utm_medium=file&utm_campaign=1841131&utm_content=Phoenix-Contact,"=""1 Position""",2.5 mm,"=""2 A""",Green,Push-In,
651-1732603,"=""1732603""",Phoenix Contact,https://eu.mouser.com/datasheet/3/507/9/phoenix_contact_1732603_en.pdf,Non-Stocked Lead-Time 8 Weeks,"=""0,28 €""",RoHS Compliant,,https://eu.mouser.com/ProductDetail/Phoenix-Contact/1732603?qs=sGAEpiMZZMvPvGwLNS671792%2FE1iUl0eVNaPHKhR%252BNU%3D&utm_source=mouser-refine-download&utm_medium=file&utm_campaign=1732603&utm_content=Phoenix-Contact,"=""2 Position""",2.5 mm,,,Push-In,
651-1989748,"=""1989748""",Phoenix Contact,https://eu.mouser.com/datasheet/3/507/9/phoenix_contact_1989748_en.pdf,4.396  In Stock,"=""0,309 €""",RoHS Compliant,,https://eu.mouser.com/ProductDetail/Phoenix-Contact/1989748?qs=sGAEpiMZZMvPvGwLNS671zZvyVWS49C%252B9cBSCKjtC88%3D&utm_source=mouser-refine-download&utm_medium=file&utm_campaign=1989748&utm_content=Phoenix-Contact,"=""2 Position""",2.5 mm,"=""2 A""",Green,Push-In,
651-1990009,"=""1990009""",Phoenix Contact,https://eu.mouser.com/datasheet/3/507/10/phoenix_contact_1990009_en.pdf,3.890  In Stock,"=""0,396 €""",RoHS Compliant,,https://eu.mouser.com/ProductDetail/Phoenix-Contact/1990009?qs=sGAEpiMZZMvPvGwLNS671967mXgdmx6Z0dNsuaS9UOw%3D&utm_source=mouser-refine-download&utm_medium=file&utm_campaign=1990009&utm_content=Phoenix-Contact,"=""2 Position""",2.5 mm,"=""2 A""",Green,Push-In,
651-1027603,"=""1027603""",Phoenix Contact,https://eu.mouser.com/datasheet/3/507/9/phoenix_contact_1027603_en.pdf,56  In Stock,"=""0,37 €""",RoHS Compliant,,https://eu.mouser.com/ProductDetail/Phoenix-Contact/1027603?qs=sGAEpiMZZMvPvGwLNS671%2FDanv8Jav06vsu0X25BJdNkPV5CDcVKxQ%3D%3D&utm_source=mouser-refine-download&utm_medium=file&utm_campaign=1027603&utm_content=Phoenix-Contact,"=""2 Position""",2.54 mm,"=""6 A""",Black,Crimp,
