Mouser Part Number,Mfr Part Number,Mfr.,Datasheet,Availability,Pricing,RoHS,Lifecycle,Product Detail,Resistance,Tolerance,Power Rating,Temperature Coefficient,Case Code - in,Case Code - mm
708-RNAN0603BKE1K00,RNAN0603BKE1K00,SEI Stackpole,https://www.seielect.com/Catalog/SEI-rnan.PDF,401  In Stock,"=""0,843 €""",,New Product,https://www.mouser.be/ProductDetail/SEI-Stackpole/RNAN0603BKE1K00?qs=sGAEpiMZZMvdGkrng054twszbajJBv1K16ANGVHTijMBf3LE1%2FA27Q%3D%3D&utm_source=mouser-refine-download&utm_medium=file&utm_campaign=RNAN0603BKE1K00&utm_content=SEI-Stackpole,1 kOhms,0.1 %,500 mW (1/2 W),"=""25 PPM / C""","=""0603""","=""1508"""
708-RNAN0805BKE1K00,RNAN0805BKE1K00,SEI Stackpole,https://www.seielect.com/Catalog/SEI-rnan.PDF,508  In Stock,"=""1,08 €""",,New Product,https://www.mouser.be/ProductDetail/SEI-Stackpole/RNAN0805BKE1K00?qs=sGAEpiMZZMvdGkrng054twszbajJBv1KSeD%252B4R7P%2Fo2KeAomvflXcA%3D%3D&utm_source=mouser-refine-download&utm_medium=file&utm_campaign=RNAN0805BKE1K00&utm_content=SEI-Stackpole,1 kOhms,0.1 %,1 W,"=""25 PPM / C""","=""0805""","=""2012"""
708-RNAN1206BKE1K00,RNAN1206BKE1K00,SEI Stackpole,https://www.seielect.com/Catalog/SEI-rnan.PDF,652  In Stock,"=""1,38 €""",,New Product,https://www.mouser.be/ProductDetail/SEI-Stackpole/RNAN1206BKE1K00?qs=sGAEpiMZZMvdGkrng054twszbajJBv1Kfl4466v636F3s2awygL6jA%3D%3D&utm_source=mouser-refine-download&utm_medium=file&utm_campaign=RNAN1206BKE1K00&utm_content=SEI-Stackpole,1 kOhms,0.1 %,2 W,"=""25 PPM / C""","=""1206""","=""3015"""
279-RT73F1J1K0BTD,RT73F1J1K0BTD,TE Connectivity / Holsworthy,https://www.te.com/commerce/DocumentDelivery/DDEController?Action=showdoc&DocId=Data+Sheet%7F1773450%7FA1%7Fpdf%7FEnglish%7FENG_DS_1773450_A1.pdf%7FCAT-F52-R,5.584  In Stock,"=""0,49 €""",RoHS Compliant By Exemption,New Product,https://www.mouser.be/ProductDetail/TE-Connectivity-Holsworthy/RT73F1J1K0BTD?qs=sGAEpiMZZMvdGkrng054t2cqbZCzJY7N1Z7lJbMQmxQNXLQTcGbpPA%3D%3D&utm_source=mouser-refine-download&utm_medium=file&utm_campaign=RT73F1J1K0BTD&utm_content=TE-Connectivity-%2F-Holsworthy,1 kOhms,0.1 %,200 mW (1/5 W),"=""25 PPM / C""","=""0603""","=""1608"""
279-RT73F1E1K0BTH,RT73F1E1K0BTH,TE Connectivity / Holsworthy,https://www.te.com/commerce/DocumentDelivery/DDEController?Action=showdoc&DocId=Data+Sheet%7F1773450%7FA1%7Fpdf%7FEnglish%7FENG_DS_1773450_A1.pdf%7FCAT-F52-R,7.426  In Stock,"=""0,636 €""",RoHS Compliant By Exemption,New Product,https://www.mouser.be/ProductDetail/TE-Connectivity-Holsworthy/RT73F1E1K0BTH?qs=sGAEpiMZZMvdGkrng054t2cqbZCzJY7NHsQn8EBIbEMLV%2Fnr%2F%252BJfNQ%3D%3D&utm_source=mouser-refine-download&utm_medium=file&utm_campaign=RT73F1E1K0BTH&utm_content=TE-Connectivity-%2F-Holsworthy,1 kOhms,0.1 %,125 mW (1/8 W),"=""25 PPM / C""","=""0402""","=""1005"""
652-PWR263S351001FE,PWR263S-35-1001FE,Bourns,https://www.mouser.be/datasheet/3/40/1/pwr263s_35.pdf,1.025  In Stock,"=""7,33 €""",,,https://www.mouser.be/ProductDetail/Bourns/PWR263S-35-1001FE?qs=sGAEpiMZZMvdGkrng054t%252B7G6pGH31Yo4zVvCQi3Lj8%3D&utm_source=mouser-refine-download&utm_medium=file&utm_campaign=PWR263S-35-1001FE&utm_content=Bourns,1 kOhms,1 %,35 W,"=""100 PPM / C""",TO-263-2 (D2PAK),TO-263-2 (D2PAK)
667-ERJ-1GJJ102C,ERJ-1GJJ102C,Panasonic,https://industrial.panasonic.com/cdbs/www-data/pdf/RDO0000/RDO0000C334.pdf,22.117  In Stock,"=""0,138 €""",RoHS Compliant,,https://www.mouser.be/ProductDetail/Panasonic/ERJ-1GJJ102C?qs=sGAEpiMZZMvdGkrng054t2cqbZCzJY7NPa9HI09NIqasjSvpTjFJ4Q%3D%3D&utm_source=mouser-refine-download&utm_medium=file&utm_campaign=ERJ-1GJJ102C&utm_content=Panasonic,1 kOhms,5 %,50 mW (1/20 W),"=""200 PPM / C""","=""0201""","=""0603"""
279-CRGCQ2512F1K0,CRGCQ2512F1K0,TE Connectivity / Holsworthy,https://www.mouser.be/datasheet/3/80/14/ENG_DS_1773204_3_B2.pdf,29.359  In Stock,"=""0,31 €""",RoHS Compliant By Exemption,,https://www.mouser.be/ProductDetail/TE-Connectivity-Holsworthy/CRGCQ2512F1K0?qs=sGAEpiMZZMvdGkrng054t7z4BkURc4LzdxGIcl95ehrPKGJDvuStqg%3D%3D&utm_source=mouser-refine-download&utm_medium=file&utm_campaign=CRGCQ2512F1K0&utm_content=TE-Connectivity-%2F-Holsworthy,1 kOhms,1 %,1 W,"=""100 PPM / C""","=""2512""","=""6332"""
71-TNPU04021K00AYEP0,TNPU04021K00AYEP00,Vishay / Draloric,https://www.vishay.com/docs/28779/tnpue3.pdf,3.173  In Stock,"=""1,34 €""",RoHS Compliant By Exemption,,https://www.mouser.be/ProductDetail/Vishay-Draloric/TNPU04021K00AYEP00?qs=sGAEpiMZZMvdGkrng054twKDKoBh%252BscnQfyCRMfolLqmkVkG%252BKdiRw%3D%3D&utm_source=mouser-refine-download&utm_medium=file&utm_campaign=TNPU04021K00AYEP00&utm_content=Vishay-%2F-Draloric,1 kOhms,0.05 %,62.5 mW (1/16 W),"=""10 PPM / C""","=""0402""","=""1005"""
755-LTR100JZPJ102,LTR100JZPJ102,ROHM Semiconductor,https://www.rohm.com/datasheet?p=LTR100JZPJ&dist=Mouser&media=referral&source=mouser.com&campaign=Mouser,7.828  In Stock,"=""0,516 €""",RoHS Compliant By Exemption,,https://www.mouser.be/ProductDetail/ROHM-Semiconductor/LTR100JZPJ102?qs=sGAEpiMZZMvdGkrng054t2cqbZCzJY7Nlu1LHqUxC3X1s7zf4B8D7Q%3D%3D&utm_source=mouser-refine-download&utm_medium=file&utm_campaign=LTR100JZPJ102&utm_content=ROHM-Semiconductor,1 kOhms,5 %,3 W,"=""200 PPM / C""","=""3264""","=""1225"""
