Datasheet,Image,DK Part #,Mfr Part #,Mfr,Supplier,Description,Stock,Price,@ qty,Min Qty, Package,Series,Product Status,"Capacitance","Tolerance","Voltage - Rated","Temperature Coefficient","Operating Temperature","Features","Ratings","Applications","Failure Rate","Mounting Type","Package / Case","Size / Dimension","Height - Seated (Max)","Thickness (Max)","Lead Spacing","Lead Style","URL"
"https://www.passivecomponent.com/wp-content/uploads/datasheet/WTC_MLCC_General_Purpose.pdf","//mm.digikey.com/Volume0/opasdata/d220001/medias/images/942/0603-%281608-Metric%29-0%2C90mm.jpg","1292-1501-2-ND,1292-1501-1-ND,1292-1501-6-ND","0603N220G500CT","Walsin Technology Corporation","Walsin Technology Corporation","CAP CER 22PF 50V C0G/NP0 0603","38.705","0.08","0","1","Tape & Reel (TR),Cut Tape (CT),Digi-Reel®","-","Active","22 pF","±2%","50V","C0G, NP0","-55°C ~ 125°C","-","-","General Purpose","-","Surface Mount, MLCC","0603 (1608 Metric)","0.063"" L x 0.031"" W (1.60mm x 0.80mm)","-","0.034"" (0.87mm)","-","-","https://www.digikey.be/en/products/detail/walsin-technology-corporation/0603N220G500CT/9354998"
"https://calchip.com/wp-content/uploads/2026/04/GMC-Series-1.pdf","//mm.digikey.com/Volume0/opasdata/d220001/medias/images/5781/MFG_Cal-Chip-All-Capacitors.jpg","4713-GMC10CG220G50NTDTR-ND,4713-GMC10CG220G50NTDCT-ND,4713-GMC10CG220G50NTDDKR-ND","GMC10CG220G50NTD","Cal-Chip Electronics, Inc.","Cal-Chip Electronics, Inc.","CAP0603 COG 22PF 2% 50V","9.770","0.08","0","1","Tape & Reel (TR),Cut Tape (CT),Digi-Reel®","GMC","Active","22 pF","±2%","50V","C0G, NP0","-55°C ~ 125°C","-","-","General Purpose","-","Surface Mount, MLCC","0603 (1608 Metric)","0.063"" L x 0.031"" W (1.60mm x 0.80mm)","-","0.035"" (0.90mm)","-","-","https://www.digikey.be/en/products/detail/cal-chip-electronics-inc/GMC10CG220G50NTD/24634115"
"https://calchip.com/wp-content/uploads/2026/04/GMC-Series-1.pdf","//mm.digikey.com/Volume0/opasdata/d220001/medias/images/5781/MFG_Cal-Chip-All-Capacitors.jpg","4713-GMC10CG220G100NTTR-ND,4713-GMC10CG220G100NTCT-ND,4713-GMC10CG220G100NTDKR-ND","GMC10CG220G100NT","Cal-Chip Electronics, Inc.","Cal-Chip Electronics, Inc.","CAP0603 COG 22PF 2% 100V","3.990","0.08","0","1","Tape & Reel (TR),Cut Tape (CT),Digi-Reel®","GMC","Active","22 pF","±2%","100V","C0G, NP0","-55°C ~ 125°C","-","-","General Purpose","-","Surface Mount, MLCC","0603 (1608 Metric)","0.063"" L x 0.031"" W (1.60mm x 0.80mm)","-","0.035"" (0.90mm)","-","-","https://www.digikey.be/en/products/detail/cal-chip-electronics-inc/GMC10CG220G100NT/24634105"
"https://calchip.com/wp-content/uploads/2026/04/GMC-Series-1.pdf","//mm.digikey.com/Volume0/opasdata/d220001/medias/images/5781/MFG_Cal-Chip-All-Capacitors.jpg","4713-GMC10CG220F50NTTR-ND,4713-GMC10CG220F50NTCT-ND,4713-GMC10CG220F50NTDKR-ND","GMC10CG220F50NT","Cal-Chip Electronics, Inc.","Cal-Chip Electronics, Inc.","CAP0603 COG 22PF 1% 50V","2.942","0.08","0","1","Tape & Reel (TR),Cut Tape (CT),Digi-Reel®","GMC","Active","22 pF","±1%","50V","C0G, NP0","-55°C ~ 125°C","-","-","General Purpose","-","Surface Mount, MLCC","0603 (1608 Metric)","0.063"" L x 0.031"" W (1.60mm x 0.80mm)","-","0.035"" (0.90mm)","-","-","https://www.digikey.be/en/products/detail/cal-chip-electronics-inc/GMC10CG220F50NT/24634089"
"https://calchip.com/wp-content/uploads/2026/04/GMC-Series-1.pdf","//mm.digikey.com/Volume0/opasdata/d220001/medias/images/5781/MFG_Cal-Chip-All-Capacitors.jpg","4713-GMC10CG220F100NTTR-ND,4713-GMC10CG220F100NTCT-ND,4713-GMC10CG220F100NTDKR-ND","GMC10CG220F100NT","Cal-Chip Electronics, Inc.","Cal-Chip Electronics, Inc.","CAP0603 COG 22PF 1% 100V","2.030","0.08","0","1","Tape & Reel (TR),Cut Tape (CT),Digi-Reel®","GMC","Active","22 pF","±1%","100V","C0G, NP0","-55°C ~ 125°C","-","-","General Purpose","-","Surface Mount, MLCC","0603 (1608 Metric)","0.063"" L x 0.031"" W (1.60mm x 0.80mm)","-","0.035"" (0.90mm)","-","-","https://www.digikey.be/en/products/detail/cal-chip-electronics-inc/GMC10CG220F100NT/24634030"
"https://calchip.com/wp-content/uploads/2026/04/GMC-Series-1.pdf","//mm.digikey.com/Volume0/opasdata/d220001/medias/images/5781/MFG_Cal-Chip-All-Capacitors.jpg","4713-GMC10CG220G50NTTR-ND,4713-GMC10CG220G50NTCT-ND,4713-GMC10CG220G50NTDKR-ND","GMC10CG220G50NT","Cal-Chip Electronics, Inc.","Cal-Chip Electronics, Inc.","CAP0603 COG 22PF 2% 50V","4.000","0.08","0","1","Tape & Reel (TR),Cut Tape (CT),Digi-Reel®","GMC","Active","22 pF","±2%","50V","C0G, NP0","-55°C ~ 125°C","-","-","General Purpose","-","Surface Mount, MLCC","0603 (1608 Metric)","0.063"" L x 0.031"" W (1.60mm x 0.80mm)","-","0.035"" (0.90mm)","-","-","https://www.digikey.be/en/products/detail/cal-chip-electronics-inc/GMC10CG220G50NT/24634049"
"https://search.murata.co.jp/Ceramy/image/img/A01X/G101/ENG/GCM1885C2A300GA16-01A.pdf","//mm.digikey.com/Volume0/opasdata/d220001/medias/images/5447/490-Ceramic-Capacitor-Tan-Field.jpg","490-GCM1885C2A300GA16DTR-ND,490-GCM1885C2A300GA16DCT-ND,490-GCM1885C2A300GA16DDKR-ND","GCM1885C2A300GA16D","Murata Electronics","Murata Electronics","CAP CER 30PF 100V C0G/NP0 0603","11.663","0.09","0","1","Tape & Reel (TR),Cut Tape (CT),Digi-Reel®","GCM","Active","30 pF","±2%","100V","C0G, NP0","-55°C ~ 125°C","-","AEC-Q200","Automotive","-","Surface Mount, MLCC","0603 (1608 Metric)","0.063"" L x 0.031"" W (1.60mm x 0.80mm)","-","0.035"" (0.90mm)","-","-","https://www.digikey.be/en/products/detail/murata-electronics/GCM1885C2A300GA16D/17864322"
"https://www.yageo.com/en/Chart/Download/pdf/CC0603GRNPO9BN220","//mm.digikey.com/Volume0/opasdata/d220001/medias/images/2488/0603%289mmthickness%29.jpg","311-3925-2-ND,311-3925-1-ND,311-3925-6-ND","CC0603GRNPO9BN220","YAGEO","YAGEO","CAP CER 22PF 50V C0G/NPO 0603","42.649","0.1","0","1","Tape & Reel (TR),Cut Tape (CT),Digi-Reel®","CC","Active","22 pF","±2%","50V","C0G, NP0","-55°C ~ 125°C","-","-","General Purpose","-","Surface Mount, MLCC","0603 (1608 Metric)","0.063"" L x 0.031"" W (1.60mm x 0.80mm)","-","0.035"" (0.90mm)","-","-","https://www.digikey.be/en/products/detail/yageo/CC0603GRNPO9BN220/5883550"
"https://www.yageo.com/en/Chart/Download/pdf/CC0603GRNPO9BN270","//mm.digikey.com/Volume0/opasdata/d220001/medias/images/2488/0603%289mmthickness%29.jpg","311-3929-2-ND,311-3929-1-ND,311-3929-6-ND","CC0603GRNPO9BN270","YAGEO","YAGEO","CAP CER 27PF 50V C0G/NPO 0603","14.873","0.1","0","1","Tape & Reel (TR),Cut Tape (CT),Digi-Reel®","CC","Active","27 pF","±2%","50V","C0G, NP0","-55°C ~ 125°C","-","-","General Purpose","-","Surface Mount, MLCC","0603 (1608 Metric)","0.063"" L x 0.031"" W (1.60mm x 0.80mm)","-","0.035"" (0.90mm)","-","-","https://www.digikey.be/en/products/detail/yageo/CC0603GRNPO9BN270/5883554"
"https://yageogroup.com/content/Resource%20Library/Datasheet/UPY-NP0X7R_MV_100-TO-630V.pdf","//mm.digikey.com/Volume0/opasdata/d220001/medias/images/2488/0603%289mmthickness%29.jpg","311-3909-2-ND,311-3909-1-ND,311-3909-6-ND","CC0603GRNPO0BN220","YAGEO","YAGEO","CAP CER 22PF 100V C0G/NPO 0603","16.000","0.1","0","1","Tape & Reel (TR),Cut Tape (CT),Digi-Reel®","CC","Active","22 pF","±2%","100V","C0G, NP0","-55°C ~ 125°C","-","-","General Purpose","-","Surface Mount, MLCC","0603 (1608 Metric)","0.063"" L x 0.031"" W (1.60mm x 0.80mm)","-","0.035"" (0.90mm)","-","-","https://www.digikey.be/en/products/detail/yageo/CC0603GRNPO0BN220/5883525"
