Datasheet,Image,DK Part #,Mfr Part #,Mfr,Supplier,Description,Stock,Price,@ qty,Min Qty, Package,Series,Product Status,"Resistance","Tolerance","Power (Watts)","Composition","Features","Temperature Coefficient","Operating Temperature","Package / Case","Supplier Device Package","Size / Dimension","Height - Seated (Max)","Number of Terminations","Failure Rate","Ratings","URL"
"https://www.ohmite.com/assets/images/res-tdh35.pdf","//mm.digikey.com/Volume0/opasdata/d220001/medias/images/12/TDH35P250RJE.JPG","TDH35P1K00JE-ND","TDH35P1K00JE","Ohmite","Ohmite","RES SMD 1K OHM 5% 35W D2PAK","223","14.25","0","1","Bulk","TDH35","Active","1 kOhms","±5%","35W","Thick Film","Moisture Resistant","±50ppm/°C","-55°C ~ 150°C","TO-263-3, D2PAK (2 Leads + Tab), TO-263AB","TO-263 (D2PAK)","0.398"" L x 0.378"" W (10.10mm x 9.60mm)","0.185"" (4.70mm)","2","-","-","https://www.digikey.be/en/products/detail/ohmite/TDH35P1K00JE/824402"
"https://www.vishay.com/docs/52023/chp.pdf","-","716-CHP2512L1001JNTCTR-ND","CHP2512L1001JNTC","Vishay Sfernice","Vishay Sfernice","CHP 2512 200PPM 1K 5% N TR500 E2","0","6.9738","0","100","Tape & Reel (TR)","CHP","Active","1 kOhms","±5%","2W","Thick Film","Moisture Resistant","±200ppm/°C","-55°C ~ 155°C","2512 (6432 Metric)","2512","0.248"" L x 0.130"" W (6.30mm x 3.30mm)","0.025"" (0.63mm)","2","-","-","https://www.digikey.be/en/products/detail/vishay-sfernice/CHP2512L1001JNTC/29264859"
"https://www.vishay.com/docs/61023/bcr.pdf","//mm.digikey.com/Volume0/opasdata/d220001/medias/images/6356/MFG_BCR.jpg","909-BCR10000JKAKWS-ND","BCR10000JKAKWS","Vishay Electro-Films","Vishay Electro-Films","BCR 5% +/-100PPM WS","0","6.47112","0","250","Tray","BCR","Active","1 kOhms","±5%","0.25W, 1/4W","Thin Film","Bonding Mountable, Moisture Resistant","±100ppm/°C","-55°C ~ 125°C","0202 (0505 Metric)","0202","0.020"" L x 0.020"" W (0.50mm x 0.50mm)","0.012"" (0.30mm)","2","-","-","https://www.digikey.be/en/products/detail/vishay-electro-films/BCR10000JKAKWS/24706538"
"https://www.vishay.com/docs/61017/sfm.pdf","//mm.digikey.com/Volume0/opasdata/d220001/medias/images/2581/SFM%20Series.jpg","909-SFM10000JCANKWS-ND","SFM10000JCANKWS","Vishay Electro-Films","Vishay Electro-Films","SFM 5% 50PPM WS","0","6.2048","0","250","Tray","SFM","Active","1 kOhms","±5%","0.25W, 1/4W","Thin Film","Bonding Mountable, Moisture Resistant","±50ppm/°C","-55°C ~ 150°C","0202 (0505 Metric)","0202","0.020"" L x 0.020"" W (0.50mm x 0.50mm)","0.012"" (0.30mm)","2","-","-","https://www.digikey.be/en/products/detail/vishay-electro-films/SFM10000JCANKWS/24704064"
"https://www.vishay.com/docs/61023/bcr.pdf","//mm.digikey.com/Volume0/opasdata/d220001/medias/images/6356/MFG_BCR.jpg","909-BCR10000JRGHWS-ND","BCR10000JRGHWS","Vishay Electro-Films","Vishay Electro-Films","BCR 5% +0/-250PPM WS","0","6.01268","0","250","Tray","BCR","Active","1 kOhms","±5%","0.25W, 1/4W","Thin Film","Bonding Mountable, Moisture Resistant","0/ -250ppm/°C","-55°C ~ 125°C","0202 (0505 Metric)","0202","0.020"" L x 0.020"" W (0.50mm x 0.50mm)","0.012"" (0.30mm)","2","-","-","https://www.digikey.be/en/products/detail/vishay-electro-films/BCR10000JRGHWS/24705573"
"https://www.ohmite.com/assets/images/res-tfss.pdf","//mm.digikey.com/Volume0/opasdata/d220001/medias/images/4100/MFG_TFSSCxxEseries.jpg","273-TFSSF1K00JETR-ND","TFSSF1K00JE","Ohmite","Ohmite","RES 1K OHM 5% 2W SMD","0","5.9792","0","500","Tape & Reel (TR)","TFSS","Active","1 kOhms","±5%","2W","Thick Film","Non-Inductive, Pulse Withstanding","±100ppm/°C","-40°C ~ 155°C","Nonstandard","-","1.024"" L x 0.413"" W (26.00mm x 10.50mm)","0.035"" (0.90mm)","2","-","-","https://www.digikey.be/en/products/detail/ohmite/TFSSF1K00JE/17038661"
"https://www.vishay.com/docs/51058/d2to35.pdf","//mm.digikey.com/Volume0/opasdata/d220001/medias/images/7424/MFG_716%7ETO263%28D2PAK%29%7E%7E2.jpg","716-D2TO035C10000JRE3TR-ND,716-D2TO035C10000JRE3CT-ND,716-D2TO035C10000JRE3DKR-ND","D2TO035C10000JRE3","Vishay Sfernice","Vishay Sfernice","RES SMD TO263","490","5.12","0","1","Tape & Reel (TR),Cut Tape (CT),Digi-Reel®","D2TO35","Active","1 kOhms","±5%","35W","Thick Film","Automotive AEC-Q200, Moisture Resistant, Non-Inductive","±150ppm/°C","-55°C ~ 175°C","TO-263-3, D2PAK (2 Leads + Tab), TO-263AB","TO-263 (D2PAK)","0.398"" L x 0.346"" W (10.10mm x 8.80mm)","0.189"" (4.80mm)","2","-","-","https://www.digikey.be/en/products/detail/vishay-sfernice/D2TO035C10000JRE3/10742930"
"https://www.vishay.com/docs/61023/bcr.pdf","//mm.digikey.com/Volume0/opasdata/d220001/medias/images/6356/MFG_BCR.jpg","909-BCR10000JKAHWS-ND","BCR10000JKAHWS","Vishay Electro-Films","Vishay Electro-Films","BCR 5% +/-100PPM WS","0","5.07824","0","250","Tray","BCR","Active","1 kOhms","±5%","0.25W, 1/4W","Thin Film","Bonding Mountable, Moisture Resistant","±100ppm/°C","-55°C ~ 125°C","0202 (0505 Metric)","0202","0.020"" L x 0.020"" W (0.50mm x 0.50mm)","0.012"" (0.30mm)","2","-","-","https://www.digikey.be/en/products/detail/vishay-electro-films/BCR10000JKAHWS/24704346"
"https://www.vishay.com/docs/61023/bcr.pdf","//mm.digikey.com/Volume0/opasdata/d220001/medias/images/6356/MFG_BCR.jpg","909-BCR10000JRAHWS-ND","BCR10000JRAHWS","Vishay Electro-Films","Vishay Electro-Films","BCR 5% +0/-250PPM WS","0","5.07824","0","250","Tray","BCR","Active","1 kOhms","±5%","0.25W, 1/4W","Thin Film","Bonding Mountable, Moisture Resistant","0/ -250ppm/°C","-55°C ~ 125°C","0202 (0505 Metric)","0202","0.020"" L x 0.020"" W (0.50mm x 0.50mm)","0.012"" (0.30mm)","2","-","-","https://www.digikey.be/en/products/detail/vishay-electro-films/BCR10000JRAHWS/24705430"
"https://www.vishay.com/docs/61023/bcr.pdf","//mm.digikey.com/Volume0/opasdata/d220001/medias/images/6356/MFG_BCR.jpg","909-BCR10000JMGHWS-ND","BCR10000JMGHWS","Vishay Electro-Films","Vishay Electro-Films","BCR 5% +/-250PPM WS","0","5.07824","0","250","Tray","BCR","Active","1 kOhms","±5%","0.25W, 1/4W","Thin Film","Bonding Mountable, Moisture Resistant","±250ppm/°C","-55°C ~ 125°C","0202 (0505 Metric)","0202","0.020"" L x 0.020"" W (0.50mm x 0.50mm)","0.012"" (0.30mm)","2","-","-","https://www.digikey.be/en/products/detail/vishay-electro-films/BCR10000JMGHWS/24707071"
