Datasheet,Image,DK Part #,Mfr Part #,Mfr,Supplier,Description,Stock,Price,@ qty,Min Qty, Package,Series,Product Status,"Type","Frequency","Frequency Stability","Frequency Tolerance","Load Capacitance","ESR (Equivalent Series Resistance)","Operating Mode","Operating Temperature","Ratings","Mounting Type","Package / Case","Size / Dimension","Height - Seated (Max)","Supplier Device Package","URL"
"https://www.raltron.com/webproducts/specs/CRYSTAL/AS-12.000-18-3030-EXT-SMD-TR.pdf","//mm.digikey.com/Volume0/opasdata/d220001/medias/images/210/MFG_AS-SMD.jpg","2151-AS-12.000-18-3030-EXT-SMD-TR-ND,2151-AS-12.000-18-3030-EXT-SMD-TRCT-ND,2151-AS-12.000-18-3030-EXT-SMD-TRDKR-ND","AS-12.000-18-3030-EXT-SMD-TR","Raltron Electronics","Raltron Electronics","CRYSTAL 12.0000MHZ 18PF SMD","4.045","0.12","0","1","Tape & Reel (TR),Cut Tape (CT),Digi-Reel®","AS-SMD","Active","MHz Crystal","12 MHz","±30ppm","±30ppm","18pF","50 Ohms","Fundamental","-40°C ~ 85°C","-","Surface Mount","HC-49/US","0.472"" L x 0.189"" W (12.00mm x 4.80mm)","0.157"" (4.00mm)","-","https://www.digikey.be/en/products/detail/raltron-electronics/AS-12-000-18-3030-EXT-SMD-TR/13151062"
"https://www.raltron.com/webproducts/specs/CRYSTAL/AS-12.000-20-SMD-TR.pdf","//mm.digikey.com/Volume0/opasdata/d220001/medias/images/210/MFG_AS-SMD.jpg","2151-AS-12.000-20-SMD-TR-ND,2151-AS-12.000-20-SMD-TRCT-ND,2151-AS-12.000-20-SMD-TRDKR-ND","AS-12.000-20-SMD-TR","Raltron Electronics","Raltron Electronics","CRYSTAL 12.0000MHZ 20PF SMD","0","0.12","0","1","Tape & Reel (TR),Cut Tape (CT),Digi-Reel®","AS-SMD","Active","MHz Crystal","12 MHz","±50ppm","±30ppm","20pF","50 Ohms","Fundamental","-20°C ~ 70°C","-","Surface Mount","HC-49/US","0.472"" L x 0.189"" W (12.00mm x 4.80mm)","0.157"" (4.00mm)","-","https://www.digikey.be/en/products/detail/raltron-electronics/AS-12-000-20-SMD-TR/13150828"
"https://www.raltron.com/webproducts/specs/CRYSTAL/AS-12.000-20.pdf","//mm.digikey.com/Volume0/opasdata/d220001/medias/images/50/AS-12.00-20.jpg","2151-AS-12.000-20-ND","AS-12.000-20","Raltron Electronics","Raltron Electronics","CRYSTAL 12.0000MHZ 20PF TH","1.241","0.13","0","1","Bulk","AS","Active","MHz Crystal","12 MHz","±50ppm","±30ppm","20pF","50 Ohms","Fundamental","-20°C ~ 70°C","-","Through Hole","HC-49/US","0.447"" L x 0.197"" W (11.35mm x 5.00mm)","0.138"" (3.50mm)","-","https://www.digikey.be/en/products/detail/raltron-electronics/AS-12-000-20/10271756"
"-","//mm.digikey.com/Volume0/opasdata/d220001/medias/images/6846/MFG_535%7E4SMD-.80-3.2X2.5%7E%7E4.jpg","535-ABM8-12.000MHZ-16-R100-DY-T3TR-ND","ABM8-12.000MHZ-16-R100-DY-T3","Abracon LLC","Abracon LLC","XTAL 3225 4-SMD 12MHZ TOL 50PPM","0","0.1388","0","3000","Tape & Reel (TR)","ABM8","Active","MHz Crystal","12 MHz","±30ppm","±50ppm","16pF","120 Ohms","Fundamental","-40°C ~ 85°C","-","Surface Mount","4-SMD, No Lead","0.126"" L x 0.098"" W (3.20mm x 2.50mm)","0.031"" (0.80mm)","4-SMD (3.2x2.5)","https://www.digikey.be/en/products/detail/abracon-llc/ABM8-12-000MHZ-16-R100-DY-T3/26474014"
"https://abracon.com/Resonators/ABLS.pdf","//mm.digikey.com/Volume0/opasdata/d220001/medias/images/6845/535%7EHCUSSMD-4.2-11.4X4.7%7E%7E2.jpg","2266-ABLS-12.000MHZ-B2Y-TTR-ND,535-ABLS-12.000MHZ-B2Y-TTR-ND","ABLS-12.000MHZ-B2Y-T","Abracon LLC","WEC,Abracon LLC","CRYSTAL 12.0000MHZ 18PF SMD","0","0.1396","0","1000","Tape & Reel (TR),Tape & Reel (TR)","ABLS","Active","MHz Crystal","12 MHz","±30ppm","±20ppm","18pF","50 Ohms","Fundamental","-20°C ~ 70°C","-","Surface Mount","HC-49/US","0.449"" L x 0.185"" W (11.40mm x 4.70mm)","0.165"" (4.20mm)","HC-49/US","https://www.digikey.be/en/products/detail/abracon-llc/ABLS-12-000MHZ-B2Y-T/15995871"
"https://abracon.com/Resonators/ABLS.pdf","//mm.digikey.com/Volume0/opasdata/d220001/medias/images/6845/535%7EHCUSSMD-4.2-11.4X4.7%7E%7E2.jpg","535-14856-2-ND","ABLS-12.000MHZ-B4H-T","Abracon LLC","Abracon LLC","CRYSTAL 12.0000MHZ 18PF SMD","0","0.1396","0","1000","Tape & Reel (TR)","ABLS","Active","MHz Crystal","12 MHz","±35ppm","±30ppm","18pF","50 Ohms","Fundamental","-20°C ~ 70°C","-","Surface Mount","HC-49/US","0.449"" L x 0.185"" W (11.40mm x 4.70mm)","0.165"" (4.20mm)","HC-49/US","https://www.digikey.be/en/products/detail/abracon-llc/ABLS-12-000MHZ-B4H-T/9997764"
"https://abracon.com/Resonators/ABLS.pdf","//mm.digikey.com/Volume0/opasdata/d220001/medias/images/6845/535%7EHCUSSMD-4.2-11.4X4.7%7E%7E2.jpg","535-14870-2-ND","ABLS-12.000MHZ-20-D-4-H-T","Abracon LLC","Abracon LLC","CRYSTAL 12.0000MHZ 20PF SMD","0","0.1396","0","1000","Tape & Reel (TR)","ABLS","Active","MHz Crystal","12 MHz","±35ppm","±30ppm","20pF","50 Ohms","Fundamental","-40°C ~ 85°C","-","Surface Mount","HC-49/US","0.449"" L x 0.185"" W (11.40mm x 4.70mm)","0.165"" (4.20mm)","HC-49/US","https://www.digikey.be/en/products/detail/abracon-llc/ABLS-12-000MHZ-20-D-4-H-T/9997778"
"https://abracon.com/Resonators/ABLS.pdf","//mm.digikey.com/Volume0/opasdata/d220001/medias/images/6845/535%7EHCUSSMD-4.2-11.4X4.7%7E%7E2.jpg","535-14873-2-ND","ABLS-12.000MHZ-B-4-Y-T","Abracon LLC","Abracon LLC","CRYSTAL 12.0000MHZ 18PF SMD","0","0.1396","0","1000","Tape & Reel (TR)","ABLS","Active","MHz Crystal","12 MHz","±30ppm","±30ppm","18pF","50 Ohms","Fundamental","-20°C ~ 70°C","-","Surface Mount","HC-49/US","0.449"" L x 0.185"" W (11.40mm x 4.70mm)","0.165"" (4.20mm)","HC-49/US","https://www.digikey.be/en/products/detail/abracon-llc/ABLS-12-000MHZ-B-4-Y-T/9997781"
"https://abracon.com/Resonators/ABLS.pdf","//mm.digikey.com/Volume0/opasdata/d220001/medias/images/6845/535%7EHCUSSMD-4.2-11.4X4.7%7E%7E2.jpg","535-14872-2-ND","ABLS-12.000MHZ-32-B-4-Y-T","Abracon LLC","Abracon LLC","CRYSTAL 12.0000MHZ 32PF SMD","0","0.1396","0","1000","Tape & Reel (TR)","ABLS","Active","MHz Crystal","12 MHz","±30ppm","±30ppm","32pF","50 Ohms","Fundamental","-20°C ~ 70°C","-","Surface Mount","HC-49/US","0.449"" L x 0.185"" W (11.40mm x 4.70mm)","0.165"" (4.20mm)","HC-49/US","https://www.digikey.be/en/products/detail/abracon-llc/ABLS-12-000MHZ-32-B-4-Y-T/9997780"
"https://abracon.com/Resonators/ABLS.pdf","//mm.digikey.com/Volume0/opasdata/d220001/medias/images/6845/535%7EHCUSSMD-4.2-11.4X4.7%7E%7E2.jpg","535-ABLS-12.000MHZ-12-D4Y-TTR-ND","ABLS-12.000MHZ-12-D4Y-T","Abracon LLC","Abracon LLC","CRYSTAL 12.0000MHZ 12PF SMD","0","0.1396","0","1000","Tape & Reel (TR)","ABLS","Active","MHz Crystal","12 MHz","±30ppm","±30ppm","12pF","50 Ohms","Fundamental","-40°C ~ 85°C","-","Surface Mount","HC-49/US","0.449"" L x 0.185"" W (11.40mm x 4.70mm)","0.165"" (4.20mm)","HC-49/US","https://www.digikey.be/en/products/detail/abracon-llc/ABLS-12-000MHZ-12-D4Y-T/15996017"
