Datasheet,Image,DK Part #,Mfr Part #,Mfr,Supplier,Description,Stock,Price,@ qty,Min Qty, Package,Series,Product Status,"Technology","Type","Isolated Power","Number of Channels","Inputs - Side 1/Side 2","Channel Type","Voltage - Isolation","Common Mode Transient Immunity (Min)","Data Rate","Propagation Delay tpLH / tpHL (Max)","Pulse Width Distortion (Max)","Rise / Fall Time (Typ)","Voltage - Supply","Grade","Qualification","Operating Temperature","Mounting Type","Package / Case","Supplier Device Package","URL"
"https://www.analog.com/media/en/technical-documentation/data-sheets/adum1254.pdf","//mm.digikey.com/Volume0/opasdata/d220001/medias/images/8906/MFG_175%7E21-0041%7ESA%7E8.jpg","175-ADUM1254ASA+TTR-ND","ADUM1254ASA+T","Analog Devices Inc./Maxim Integrated","Analog Devices Inc./Maxim Integrated","DGTL ISO 3KV 2CH CAN/I2C 8-SOIC","0","1.71691","0","2500","Tape & Reel (TR)","-","Active","Magnetic Coupling","CAN, I2C","No","2","2/2","Bidirectional","3000Vrms","100kV/µs","2MHz","95.8ns, 128.4ns","94.2ns","-, 20.3ns","2.25V ~ 5.5V","-","-","-40°C ~ 125°C","Surface Mount","8-SOIC (0.154"", 3.90mm Width)","8-SOIC","https://www.digikey.be/en/products/detail/analog-devices-inc-maxim-integrated/ADUM1254ASA-T/22522532"
"https://www.analog.com/media/en/technical-documentation/data-sheets/ADuM130D_130E_131D_131E.pdf","//mm.digikey.com/Volume0/opasdata/d220001/medias/images/4994/505%7ER-16-S%7ER%7E16.JPG","505-ADUM131E1BRZ-RL7TR-ND","ADUM131E1BRZ-RL7","Analog Devices Inc.","Analog Devices Inc.","DGTL ISOLTR 3KV 3CH GP 16-SOIC","0","1.74721","0","1000","Tape & Reel (TR)","iCoupler®","Active","Magnetic Coupling","General Purpose","No","3","2/1","Unidirectional","3000Vrms","75kV/µs","150Mbps","13ns, 13ns","3ns","2.5ns, 2.5ns","1.7V ~ 5.5V","-","-","-40°C ~ 125°C","Surface Mount","16-SOIC (0.154"", 3.90mm Width)","16-SOIC","https://www.digikey.be/en/products/detail/analog-devices-inc/ADUM131E1BRZ-RL7/5775477"
"https://www.analog.com/media/en/technical-documentation/data-sheets/ADuM130D_130E_131D_131E.pdf","//mm.digikey.com/Volume0/opasdata/d220001/medias/images/7547/MFG_505%7ERW-16%7ERW%7E16.jpg","505-ADUM131D0BRWZ-RLTR-ND","ADUM131D0BRWZ-RL","Analog Devices Inc.","Analog Devices Inc.","DGTL ISOLTR 3.75KV 3CH GP 16SOIC","0","1.74721","0","1000","Tape & Reel (TR)","iCoupler®","Active","Magnetic Coupling","General Purpose","No","3","2/1","Unidirectional","3750Vrms","75kV/µs","150Mbps","13ns, 13ns","3ns","2.5ns, 2.5ns","1.7V ~ 5.5V","-","-","-40°C ~ 125°C","Surface Mount","16-SOIC (0.295"", 7.50mm Width)","16-SOIC","https://www.digikey.be/en/products/detail/analog-devices-inc/ADUM131D0BRWZ-RL/5440970"
"https://www.analog.com/media/en/technical-documentation/data-sheets/ADuM130D_130E_131D_131E.pdf","//mm.digikey.com/Volume0/opasdata/d220001/medias/images/4994/505%7ER-16-S%7ER%7E16.JPG","505-ADUM131D1BRZ-RL7TR-ND","ADUM131D1BRZ-RL7","Analog Devices Inc.","Analog Devices Inc.","DGTL ISOLTR 3KV 3CH GP 16-SOIC","0","1.74721","0","1000","Tape & Reel (TR)","iCoupler®","Active","Magnetic Coupling","General Purpose","No","3","2/1","Unidirectional","3000Vrms","75kV/µs","150Mbps","13ns, 13ns","3ns","2.5ns, 2.5ns","1.7V ~ 5.5V","-","-","-40°C ~ 125°C","Surface Mount","16-SOIC (0.154"", 3.90mm Width)","16-SOIC","https://www.digikey.be/en/products/detail/analog-devices-inc/ADUM131D1BRZ-RL7/5775475"
"https://www.analog.com/media/en/technical-documentation/data-sheets/ADuM130D_130E_131D_131E.pdf","//mm.digikey.com/Volume0/opasdata/d220001/medias/images/7547/MFG_505%7ERW-16%7ERW%7E16.jpg","ADUM131D1BRWZ-RL-ND","ADUM131D1BRWZ-RL","Analog Devices Inc.","Analog Devices Inc.","DGTL ISOLTR 3.75KV 3CH GP 16SOIC","0","1.74721","0","1000","Tape & Reel (TR)","iCoupler®","Active","Magnetic Coupling","General Purpose","No","3","2/1","Unidirectional","3750Vrms","75kV/µs","150Mbps","13ns, 13ns","3ns","2.5ns, 2.5ns","1.7V ~ 5.5V","-","-","-40°C ~ 125°C","Surface Mount","16-SOIC (0.295"", 7.50mm Width)","16-SOIC","https://www.digikey.be/en/products/detail/analog-devices-inc/ADUM131D1BRWZ-RL/5440971"
"https://www.analog.com/media/en/technical-documentation/data-sheets/ADuM130D_130E_131D_131E.pdf","//mm.digikey.com/Volume0/opasdata/d220001/medias/images/4994/505%7ER-16-S%7ER%7E16.JPG","ADUM131E0BRZ-RL7-ND","ADUM131E0BRZ-RL7","Analog Devices Inc.","Analog Devices Inc.","DGTL ISOLTR 3KV 3CH GP 16-SOIC","0","1.74721","0","1000","Tape & Reel (TR)","iCoupler®","Active","Magnetic Coupling","General Purpose","No","3","2/1","Unidirectional","3000Vrms","75kV/µs","150Mbps","13ns, 13ns","3ns","2.5ns, 2.5ns","1.7V ~ 5.5V","-","-","-40°C ~ 125°C","Surface Mount","16-SOIC (0.154"", 3.90mm Width)","16-SOIC","https://www.digikey.be/en/products/detail/analog-devices-inc/ADUM131E0BRZ-RL7/5775476"
"https://www.analog.com/media/en/technical-documentation/data-sheets/adum1255.pdf","//mm.digikey.com/Volume0/opasdata/d220001/medias/images/8906/MFG_175%7E21-0041%7ESA%7E8.jpg","175-ADUM1255ASA+TTR-ND","ADUM1255ASA+T","Analog Devices Inc./Maxim Integrated","Analog Devices Inc./Maxim Integrated","DGTL ISO 3KV 2CH CAN/I2C 8-SOIC","0","1.80621","0","2500","Tape & Reel (TR)","-","Active","Magnetic Coupling","CAN, I2C","No","2","2/1","Unidirectional","3000Vrms","100kV/µs","2MHz","95.8ns, 128.4ns","94.2ns","-, 20.3ns","2.25V ~ 5.5V","-","-","-40°C ~ 125°C","Surface Mount","8-SOIC (0.154"", 3.90mm Width)","8-SOIC","https://www.digikey.be/en/products/detail/analog-devices-inc-maxim-integrated/ADUM1255ASA-T/22522518"
"https://www.analog.com/media/en/technical-documentation/data-sheets/ADuM230D_230E_231D_231E.pdf","//mm.digikey.com/Volume0/opasdata/d220001/medias/images/7547/MFG_505%7ERW-16%7ERW%7E16.jpg","505-ADUM231E1BRWZ-RLTR-ND","ADUM231E1BRWZ-RL","Analog Devices Inc.","Analog Devices Inc.","DGTL ISOLTR 5KV 3CH GP 16-SOIC","0","1.95654","0","1000","Tape & Reel (TR)","iCoupler®","Active","Magnetic Coupling","General Purpose","No","3","2/1","Unidirectional","5000Vrms","75kV/µs","150Mbps","13ns, 13ns","3ns","2.5ns, 2.5ns","1.7V ~ 5.5V","-","-","-40°C ~ 125°C","Surface Mount","16-SOIC (0.295"", 7.50mm Width)","16-SOIC","https://www.digikey.be/en/products/detail/analog-devices-inc/ADUM231E1BRWZ-RL/5726184"
"https://www.analog.com/media/en/technical-documentation/data-sheets/ADuM230D_230E_231D_231E.pdf","//mm.digikey.com/Volume0/opasdata/d220001/medias/images/7547/MFG_505%7ERW-16%7ERW%7E16.jpg","505-ADUM231E0BRWZ-RLTR-ND","ADUM231E0BRWZ-RL","Analog Devices Inc.","Analog Devices Inc.","DGTL ISOLTR 5KV 3CH GP 16-SOIC","0","1.95654","0","1000","Tape & Reel (TR)","iCoupler®","Active","Magnetic Coupling","General Purpose","No","3","2/1","Unidirectional","5000Vrms","75kV/µs","150Mbps","13ns, 13ns","3ns","2.5ns, 2.5ns","1.7V ~ 5.5V","-","-","-40°C ~ 125°C","Surface Mount","16-SOIC (0.295"", 7.50mm Width)","16-SOIC","https://www.digikey.be/en/products/detail/analog-devices-inc/ADUM231E0BRWZ-RL/5726183"
"https://www.analog.com/media/en/technical-documentation/data-sheets/ADuM230D_230E_231D_231E.pdf","//mm.digikey.com/Volume0/opasdata/d220001/medias/images/7547/MFG_505%7ERW-16%7ERW%7E16.jpg","505-ADUM231D0BRWZ-RLTR-ND","ADUM231D0BRWZ-RL","Analog Devices Inc.","Analog Devices Inc.","DGTL ISOLTR 5KV 3CH GP 16-SOIC","0","1.95654","0","1000","Tape & Reel (TR)","iCoupler®","Active","Magnetic Coupling","General Purpose","No","3","2/1","Unidirectional","5000Vrms","75kV/µs","150Mbps","13ns, 13ns","3ns","2.5ns, 2.5ns","1.7V ~ 5.5V","-","-","-40°C ~ 125°C","Surface Mount","16-SOIC (0.295"", 7.50mm Width)","16-SOIC","https://www.digikey.be/en/products/detail/analog-devices-inc/ADUM231D0BRWZ-RL/5726181"
