Datasheet,Image,DK Part #,Mfr Part #,Mfr,Supplier,Description,Stock,Price,@ qty,Min Qty, Package,Series,Product Status,"Color","Configuration","Lens Color","Lens Transparency","Millicandela Rating","Lens Style","Lens Size","Voltage - Forward (Vf) (Typ)","Current - Test","Viewing Angle","Mounting Type","Wavelength - Dominant","Wavelength - Peak","Features","Grade","Qualification","Package / Case","Supplier Device Package","Size / Dimension","Height (Max)","URL"
"https://look.ams-osram.com/m/7ebaae268447acbc/original/LS-L29K.pdf","//mm.digikey.com/Volume0/opasdata/d220001/medias/images/2586/LS%20L89K-H1J2-1%2CLS%20L29K-H1J2-1.JPG","475-LSL29K-H1J2-1-ZTR-ND,475-LSL29K-H1J2-1-ZCT-ND,475-LSL29K-H1J2-1-ZDKR-ND","LS L29K-H1J2-1-0-2-R18-Z","ams-OSRAM USA INC.","ams-OSRAM USA INC.","LED RED DIFFUSED 0603 SMD","64.990","Obsolete","0","0","Tape & Reel (TR),Cut Tape (CT),Digi-Reel®","SMARTLED® 0603","Obsolete","Red","Standard","Colorless","Diffused","4.95mcd","Rectangle with Flat Top","1.30mm x 0.80mm","1.8V","2mA","160°","Surface Mount","630nm","643nm","-","Automotive","AEC-Q101","0603 (1608 Metric)","0603","1.70mm L x 0.80mm W","0.65mm","https://www.digikey.be/en/products/detail/ams-osram-usa-inc/LS-L29K-H1J2-1-0-2-R18-Z/810339"
"https://www.rohm.com/datasheet?p=SML-D12U1W&dist=Digi-key&media=referral&source=digi-key.com&campaign=Digi-key","//mm.digikey.com/Volume0/opasdata/d220001/medias/images/993/Rohm-SMLD12.jpg","SML-D12U1WT86TR-ND,SML-D12U1WT86CT-ND,SML-D12U1WT86DKR-ND","SML-D12U1WT86","Rohm Semiconductor","Rohm Semiconductor","LED RED DIFFUSED 1608 SMD","318.286","0.0578","100","1","Tape & Reel (TR),Cut Tape (CT),Digi-Reel®","SML-D12","Active","Red","Standard","White","Diffused","63mcd","Rectangle with Flat Top","1.20mm x 0.80mm","2.2V","20mA","-","Surface Mount","620nm","-","-","-","-","0603 (1608 Metric)","1608 (0603)","1.60mm L x 0.80mm W","0.65mm","https://www.digikey.be/en/products/detail/rohm-semiconductor/SML-D12U1WT86/5843853"
"https://optoelectronics.liteon.com/upload/download/DS-22-99-0151/LTST-C190KRKT.pdf","//mm.digikey.com/Volume0/opasdata/d220001/medias/images/7211/%7E160%7E0603-%281608-Metric%29%7E.jpg","160-1436-2-ND,160-1436-1-ND,160-1436-6-ND","LTST-C190KRKT","Lite-On Inc.","LITEON","LED RED CLEAR CHIP SMD","740.908","0.0701","100","1","Tape & Reel (TR),Cut Tape (CT),Digi-Reel®","-","Active","Red","Standard","Colorless","Clear","99mcd","Rectangle with Flat Top","1.10mm x 0.80mm","2V","20mA","130°","Surface Mount","631nm","639nm","-","-","-","0603 (1608 Metric)","Chip LED","1.60mm L x 0.80mm W","0.90mm","https://www.digikey.be/en/products/detail/liteon/LTST-C190KRKT/386817"
"https://optoelectronics.liteon.com/upload/download/DS-22-99-0149/LTST-C150KRKT.pdf","//mm.digikey.com/Volume0/opasdata/d220001/medias/images/7180/%7E160%7E1206-%283216-Metric%29%7E.jpg","160-1405-2-ND,160-1405-1-ND,160-1405-6-ND","LTST-C150KRKT","Lite-On Inc.","LITEON","LED RED CLEAR 1206 SMD","453.700","0.0737","100","1","Tape & Reel (TR),Cut Tape (CT),Digi-Reel®","-","Active","Red","Standard","Colorless","Clear","54mcd","Rectangle with Flat Top","2.06mm x 1.60mm","2V","20mA","130°","Surface Mount","631nm","639nm","-","-","-","1206 (3216 Metric)","1206","3.20mm L x 1.60mm W","1.10mm","https://www.digikey.be/en/products/detail/liteon/LTST-C150KRKT/386761"
"https://www.we-online.com/components/products/datasheet/150080SS75000.pdf","//mm.digikey.com/Volume0/opasdata/d220001/medias/images/3007/WL-SMCW%20Series%200805.jpg","732-4985-2-ND,732-4985-1-ND,732-4985-6-ND","150080SS75000","Würth Elektronik","Würth Elektronik","LED RED CLEAR 0805 SMD","21.739","0.151","100","1","Tape & Reel (TR),Cut Tape (CT),Digi-Reel®","WL-SMCW","Active","Red","Standard","Colorless","Clear","60mcd","Rectangle with Flat Top","1.40mm x 1.25mm","1.9V","20mA","140°","Surface Mount","630nm","645nm","-","-","-","0805 (2012 Metric)","0805","2.00mm L x 1.25mm W","0.80mm","https://www.digikey.be/en/products/detail/würth-elektronik/150080SS75000/4489921"
"https://www.KingbrightUSA.com/images/catalog/SPEC/APT2012SURCK.pdf","//mm.digikey.com/Volume0/opasdata/d220001/medias/images/4848/MFG_754_0805-%282012-Metric%29.jpg","754-1133-2-ND,754-1133-1-ND,754-1133-6-ND","APT2012SURCK","Kingbright","Kingbright","LED RED CLEAR CHIP SMD","143.957","0.0946","100","1","Tape & Reel (TR),Cut Tape (CT),Digi-Reel®","-","Active","Red","Standard","Colorless","Clear","80mcd","Rectangle with Flat Top","1.30mm x 1.25mm","1.95V","20mA","120°","Surface Mount","630nm","645nm","-","-","-","0805 (2012 Metric)","Chip LED","2.00mm L x 1.25mm W","0.75mm","https://www.digikey.be/en/products/detail/kingbright/APT2012SURCK/1747532"
"https://www.lumex.com/datasheet/files/SML-LXT0805IW-TR.pdf","//mm.digikey.com/Volume0/opasdata/d220001/medias/images/7165/%7E67%7E0805-%282012-Metric%29%7E.jpg","67-1552-2-ND,67-1552-1-ND,67-1552-6-ND","SML-LXT0805IW-TR","Lumex Opto/Components Inc.","Lumex Opto/Components Inc.","LED RED DIFFUSED SMD","94.255","0.0958","100","1","Tape & Reel (TR),Cut Tape (CT),Digi-Reel®","-","Active","Red","Standard","White","Diffused","11mcd","Rectangle with Flat Top","1.30mm x 1.25mm","2V","20mA","140°","Surface Mount","-","635nm","-","-","-","0805 (2012 Metric)","-","2.00mm L x 1.25mm W","0.80mm","https://www.digikey.be/en/products/detail/lumex-opto-components-inc/SML-LXT0805IW-TR/304365"
"https://www.sunledusa.com/products/spec/XZMDK68W-2.pdf","//mm.digikey.com/Volume0/opasdata/d220001/medias/images/4203/MFG_XZMDK68W-2.jpg","1497-1174-2-ND,1497-1174-1-ND,1497-1174-6-ND","XZMDK68W-2","SunLED","SunLED","LED RED CLEAR CHIP SMD","517.644","0.109","100","1","Tape & Reel (TR),Cut Tape (CT),Digi-Reel®","-","Active","Red","Standard","Colorless","Clear","69mcd","Rectangle with Flat Top","0.80mm x 0.50mm","1.95V","20mA","120°","Surface Mount","630nm","645nm","-","-","-","0402 (1005 Metric)","Chip LED","1.00mm L x 0.50mm W","0.60mm","https://www.digikey.be/en/products/detail/sunled/XZMDK68W-2/4745956"
"https://s3-us-west-2.amazonaws.com/catsy.557/DIA_Selector_Guide_SMD_060820.pdf","//mm.digikey.com/Volume0/opasdata/d220001/medias/images/2463/598%20Series%200603%20%281608%20Metric%29.jpg","350-2029-2-ND,350-2029-1-ND,350-2029-6-ND","5988010107F","Dialight","Dialight","LED RED CLEAR 0603 SMD","10.566","0.1116","100","1","Tape & Reel (TR),Cut Tape (CT),Digi-Reel®","598","Active","Red","Standard","Colorless","Clear","60mcd","Rectangle with Flat Top","1.10mm x 0.80mm","2.1V","20mA","140°","Surface Mount","633nm","-","-","-","-","0603 (1608 Metric)","0603","1.60mm L x 0.80mm W","0.70mm","https://www.digikey.be/en/products/detail/dialight/5988010107F/1291263"
"https://www.rohm.com/datasheet?p=SML-D12V8W(C)&dist=Digi-key&media=referral&source=digi-key.com&campaign=Digi-key","//mm.digikey.com/Volume0/opasdata/d220001/medias/images/319/MFG_SML-D12x8%28C%29.jpg","SML-D12V8WT86CTR-ND,SML-D12V8WT86CCT-ND,SML-D12V8WT86CDKR-ND","SML-D12V8WT86C","Rohm Semiconductor","Rohm Semiconductor","LED RED 1608 SMD","20.458","0.1142","100","1","Tape & Reel (TR),Cut Tape (CT),Digi-Reel®","EXCELED™","Active","Red","Standard","White","-","40mcd","Rectangle with Flat Top","1.20mm x 0.80mm","2.2V","20mA","-","Surface Mount","630nm","-","-","Automotive","AEC-Q102","0603 (1608 Metric)","1608 (0603)","1.60mm L x 0.80mm W","0.65mm","https://www.digikey.be/en/products/detail/rohm-semiconductor/SML-D12V8WT86C/9090423"
