Datasheet,Image,DK Part #,Mfr Part #,Mfr,Supplier,Description,Stock,Price,@ qty,Min Qty, Package,Series,Product Status,"Connector Type","Number of Contacts","Gender","Specifications","Mounting Type","Mounting Feature","Termination","Features","Ingress Protection","Operating Temperature","Number of Ports","Current Rating (Amps)","Voltage - Rated","Shielding","Mating Cycles","URL"
"https://app.adam-tech.com/products/download/data_sheet/195341/mcr-b-s-ra-smt-np-cs6b-t-r-data-sheet.pdf","-","2057-MCR-B-S-RA-SMT-NP-CS6B-T/RTR-ND","MCR-B-S-RA-SMT-NP-CS6B-T/R","Adam Tech","Adam Tech","MICRO USB, TYPE B, RIGHT ANGLE,","0","0.18444","0","500","Tape & Reel (TR)","MCR","Obsolete","USB - micro B","5","Receptacle","-","Surface Mount, Right Angle","Horizontal","Solder","Solder Retention","-","-30°C ~ 80°C","1","1A","-","Shielded","-","https://www.digikey.be/en/products/detail/adam-tech/MCR-B-S-RA-SMT-NP-CS6B-T-R/9832237"
"//mm.digikey.com/Volume0/opasdata/d220001/medias/docus/6257/io_usb_micro.pdf","//mm.digikey.com/Volume0/opasdata/d220001/medias/images/8888/MFG_10118194.jpg","609-10118194-0101LFTR-ND","10118194-0101LF","Amphenol ICC (FCI)","Amphenol CS (FCI)","CONN RCPT USB","0","0.19803","0","20000","Tape & Reel (TR)","-","Active","USB - micro B","5","Receptacle","-","Surface Mount, Right Angle","Horizontal","Solder","-","-","-30°C ~ 80°C","1","0.5A, 1.8A","-","Shielded","10000","https://www.digikey.be/en/products/detail/amphenol-cs-fci/10118194-0101LF/11601535"
"https://cdn.amphenol-cs.com/media/wysiwyg/files/documentation/datasheet/inputoutput/io_usb_micro.pdf","//mm.digikey.com/Volume0/opasdata/d220001/medias/images/8888/MFG_10118194.jpg","609-10118194-0012LFTR-ND","10118194-0012LF","Amphenol ICC (FCI)","Amphenol CS (FCI)","CONN RCPT USB","0","0.20426","0","9600","Tape & Reel (TR)","-","Active","USB - micro B","5","Receptacle","-","Surface Mount, Right Angle","Horizontal","Solder","-","-","-30°C ~ 80°C","1","0.5A, 1.8A","-","Shielded","10000","https://www.digikey.be/en/products/detail/amphenol-cs-fci/10118194-0012LF/11606560"
"-","-","664-105019301012ATR-ND","105019301012A","Amphenol ICC (Commercial Products)","Amphenol CS (Commercial Products)","MICRO USB B 5POS RIGHT ANGLE SMT","0","0.2301","0","15000","Tape & Reel (TR)","-","Active","USB - micro B","5","Receptacle","USB 2.0","Surface Mount, Right Angle","Horizontal","Solder","-","-","-","1","-","-","Shielded","-","https://www.digikey.be/en/products/detail/amphenol-cs-commercial-products/105019301012A/25817228"
"https://www.molex.com/pdm_docs/sd/476100001_sd.pdf","//mm.digikey.com/Volume0/opasdata/d220001/medias/images/2277/0476100001.jpg","WM14338TR-ND","0476100001","Molex","Molex","CONN RCP MICRO USB B 5POS SMD RA","0","0.23406","0","9100","Tape & Reel (TR)","47610","Obsolete","USB - micro B","5","Receptacle","-","Surface Mount, Right Angle","Bottom Mount, Horizontal","Solder","Solder Retention","-","-35°C ~ 85°C","1","1A, 1.8A","30VAC","Shielded","10000","https://www.digikey.be/en/products/detail/molex/0476100001/4553744"
"https://cdn.amphenol-cs.com/media/wysiwyg/files/documentation/datasheet/inputoutput/io_usb_micro.pdf","//mm.digikey.com/Volume0/opasdata/d220001/medias/images/6447/MFG_10118193-0002LF.jpg","609-10118193-0002LFTR-ND","10118193-0002LF","Amphenol ICC (FCI)","Amphenol CS (FCI)","CONN RCPT USB","0","0.2342","0","10400","Tape & Reel (TR)","-","Active","USB - micro B","5","Receptacle","USB 2.0","Surface Mount, Right Angle","Horizontal","Solder","-","-","-","1","-","-","Shielded","10000","https://www.digikey.be/en/products/detail/amphenol-cs-fci/10118193-0002LF/11596817"
"//mm.digikey.com/Volume0/opasdata/d220001/medias/docus/6257/io_usb_micro.pdf","//mm.digikey.com/Volume0/opasdata/d220001/medias/images/8888/MFG_10118194.jpg","609-10118194-1001LFTR-ND","10118194-1001LF","Amphenol ICC (FCI)","Amphenol CS (FCI)","CONN RCPT USB","0","0.2407","0","9600","Tape & Reel (TR)","-","Active","USB - micro B","5","Receptacle","-","Surface Mount, Right Angle","Horizontal","Solder","-","-","-30°C ~ 80°C","1","0.5A, 1.8A","-","Shielded","10000","https://www.digikey.be/en/products/detail/amphenol-cs-fci/10118194-1001LF/11600996"
"https://cdn.amphenol-cs.com/media/wysiwyg/files/documentation/datasheet/inputoutput/io_usb_type_c_connector_cable.pdf","//mm.digikey.com/Volume0/opasdata/d220001/medias/images/6456/MFG_10164744-00011LF.jpg","609-10164744-00011LFTR-ND","10164744-00011LF","Amphenol ICC (FCI)","Amphenol CS (FCI)","MICRO USB VERTICAL T/H-TYPE","0","0.2458","0","26000","Tape & Reel (TR)","10164744","Active","USB - micro B","5","Receptacle","USB 2.0","Surface Mount, Through Hole","Vertical","Solder","-","-","-30°C ~ 85°C","1","1A, 1.8A","30VDC","Shielded","10000","https://www.digikey.be/en/products/detail/amphenol-cs-fci/10164744-00011LF/22527633"
"-","-","123-AUSB2-BFC-GSR2-ND","AUSB2-BFC-GSR2","Assmann WSW Components","Assmann WSW Components","USB","0","0.27232","0","10000","Bulk","-","Active","USB - micro B","5","Receptacle","USB 2.0","Surface Mount, Right Angle","Horizontal","Solder","-","-","-30°C ~ 85°C","1","1.8A","30VAC","Shielded","10000","https://www.digikey.be/en/products/detail/assmann-wsw-components/AUSB2-BFC-GSR2/25798694"
"https://www.molex.com/pdm_docs/sd/476541001_sd.pdf","-","0476541001-ND","0476541001","Molex","Molex","CONN RCPT MICRO USB AB 5POS SMD","0","0.27377","0","7500","Tape & Reel (TR)","47654","Obsolete","USB - micro AB","5","Receptacle","-","Board Edge, Cutout; Surface Mount; Through Hole, Right Angle","Horizontal, Mid Mount","Solder","Pick and Place","-","-30°C ~ 85°C","1","1A, 1.8A","30VAC","Shielded","10000","https://www.digikey.be/en/products/detail/molex/0476541001/4553745"
